"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Figueiropolis";"TO";0;0.689;0.664;0.822;0.6;5284;117514;"Norte"
"Figueiropolis D'Oeste";"MT";0;0.679;0.665;0.786;0.599;3537;60103;"Centro-Oeste"
"Filadelfia";"TO";0;0.621;0.578;0.792;0.522;8837;97926;"Norte"
"Filadelfia";"BA";0;0.565;0.553;0.726;0.45;16410;117328;"Nordeste"
"Firmino Alves";"BA";0;0.578;0.596;0.699;0.464;5604;44483;"Nordeste"
"Firminopolis";"GO";0;0.732;0.681;0.838;0.688;13131;156303;"Centro-Oeste"
"Flexeiras";"AL";0;0.527;0.528;0.693;0.4;12773;116887;"Nordeste"
"Flor Da Serra Do Sul";"PR";0;0.682;0.68;0.833;0.56;4645;120865;"Sul"
"Flor Do Sertao";"SC";0;0.708;0.736;0.792;0.608;1586;40588;"Sul"
"Flora Rica";"SP";0;0.727;0.668;0.796;0.723;1499;35514;"Norte"
"Florai";"PR";0;0.745;0.739;0.853;0.656;4953;158242;"Sul"
"Floreal";"SP";0;0.747;0.71;0.808;0.726;2934;55110;"Norte"
"Flores";"PE";0;0.556;0.544;0.745;0.423;22631;144880;"Nordeste"
"Flores Da Cunha";"RS";0;0.754;0.786;0.849;0.642;30430;1355963;"Sul"
"Flores De Goias";"GO";0;0.597;0.583;0.799;0.457;16100;139907;"Centro-Oeste"
"Flores Do Piaui";"PI";0;0.547;0.525;0.704;0.443;4464;29919;"Nordeste"
"Floresta";"PE";0;0.626;0.588;0.775;0.538;32556;397292;"Nordeste"
"Floresta";"PR";0;0.736;0.707;0.816;0.691;6695;180921;"Sul"
"Floresta Azul";"BA";0;0.557;0.548;0.731;0.431;10686;78633;"Nordeste"
"Floresta Do Araguaia";"PA";0;0.583;0.573;0.792;0.437;20080;315084;"Norte"
"Floresta Do Piaui";"PI";0;0.538;0.53;0.753;0.391;2556;19227;"Nordeste"
"Florestal";"MG";0;0.724;0.728;0.845;0.617;7386;105292;"Norte"
"Florestopolis";"PR";0;0.701;0.682;0.807;0.625;10646;227085;"Sul"
"Floriano";"PI";0;0.7;0.676;0.802;0.633;59840;1020426;"Nordeste"
"Floriano Peixoto";"RS";0;0.663;0.701;0.854;0.486;1796;53460;"Sul"
"Florianopolis";"SC";1;0.847;0.87;0.873;0.8;492977;18657157;"Sul"
"Florania";"RN";0;0.642;0.611;0.775;0.56;9121;82152;"Nordeste"
"Florinea";"SP";0;0.713;0.678;0.82;0.652;2699;121784;"Norte"
"Florida";"PR";0;0.732;0.707;0.816;0.679;2679;56587;"Sul"
"Florida Paulista";"SP";0;0.715;0.702;0.807;0.646;14486;188007;"Norte"
"Fonte Boa";"AM";0;0.53;0.518;0.719;0.4;18221;149829;"Norte"
"Fontoura Xavier";"RS";0;0.661;0.668;0.812;0.532;10370;180579;"Sul"
"Formiga";"MG";0;0.755;0.729;0.874;0.676;67540;1483721;"Norte"
"Formigueiro";"RS";0;0.682;0.69;0.838;0.549;6715;166408;"Sul"
"Formosa";"GO";0;0.744;0.726;0.852;0.666;119506;2104728;"Centro-Oeste"
"Formosa Da Serra Negra";"MA";0;0.556;0.485;0.774;0.459;18917;131614;"Nordeste"
"Formosa Do Oeste";"PR";0;0.723;0.692;0.836;0.652;6700;276550;"Sul"
"Formosa Do Rio Preto";"BA";0;0.618;0.576;0.763;0.536;25311;985453;"Nordeste"
"Formosa Do Sul";"SC";0;0.715;0.728;0.845;0.593;2525;51700;"Sul"
"Formoso";"GO";0;0.715;0.686;0.834;0.639;4325;60627;"Centro-Oeste"
"Formoso";"MG";0;0.64;0.616;0.834;0.51;9431;177819;"Norte"
"Formoso Do Araguaia";"TO";0;0.67;0.64;0.801;0.587;18482;369723;"Norte"
"Forquetinha";"RS";0;0.683;0.743;0.886;0.484;2424;42526;"Sul"
"Forquilha";"CE";0;0.644;0.583;0.76;0.602;24169;179146;"Nordeste"
"Forquilhinha";"SC";0;0.753;0.754;0.861;0.657;26368;713564;"Sul"
"Fortaleza";"CE";1;0.754;0.749;0.824;0.695;2643247;60141145;"Nordeste"
"Fortaleza De Minas";"MG";0;0.67;0.683;0.805;0.546;4387;99606;"Norte"
"Fortaleza Do Tabocao";"TO";0;0.659;0.616;0.808;0.575;2576;134912;"Norte"
"Fortaleza Dos Nogueiras";"MA";0;0.616;0.566;0.773;0.534;12615;127913;"Nordeste"
"Fortaleza Dos Valos";"RS";0;0.756;0.779;0.837;0.663;4356;286515;"Sul"
"Fortim";"CE";0;0.624;0.562;0.734;0.588;16357;140963;"Nordeste"
"Fortuna";"MA";0;0.58;0.558;0.706;0.494;15536;97366;"Nordeste"
"Fortuna De Minas";"MG";0;0.696;0.651;0.845;0.613;2927;34289;"Norte"
"Foz Do Iguacu";"PR";0;0.751;0.748;0.858;0.661;258823;13387807;"Sul"
"Foz Do Jordao";"PR";0;0.645;0.654;0.828;0.496;4745;105001;"Sul"
"Fraiburgo";"SC";0;0.731;0.712;0.86;0.637;36299;946177;"Sul"
"Franca";"SP";0;0.78;0.749;0.842;0.753;350400;9689019;"Norte"
"Francinopolis";"PI";0;0.564;0.523;0.722;0.475;5349;33467;"Nordeste"
"Francisco Alves";"PR";0;0.669;0.669;0.786;0.57;6101;182697;"Sul"
"Francisco Ayres";"PI";0;0.577;0.565;0.756;0.45;4373;30055;"Nordeste"
"Francisco Badaro";"MG";0;0.622;0.575;0.793;0.527;10343;63205;"Norte"
"Francisco Beltrao";"PR";0;0.774;0.758;0.844;0.726;89942;2840454;"Sul"
"Francisco Dantas";"RN";0;0.606;0.582;0.732;0.523;2836;23280;"Nordeste"
"Francisco Dumont";"MG";0;0.625;0.596;0.797;0.513;5187;46043;"Norte"
"Francisco Macedo";"PI";0;0.553;0.567;0.701;0.425;3166;24122;"Nordeste"
"Francisco Morato";"SP";0;0.703;0.659;0.815;0.647;174008;1372211;"Norte"
"Francisco Santos";"PI";0;0.608;0.598;0.754;0.498;9262;63330;"Nordeste"
"Francisco Sa";"MG";0;0.654;0.605;0.808;0.572;26181;372999;"Norte"
"Franciscopolis";"MG";0;0.603;0.581;0.802;0.471;5446;66522;"Norte"
"Franco Da Rocha";"SP";0;0.731;0.702;0.852;0.654;152433;2460082;"Norte"
"Frecheirinha";"CE";0;0.604;0.551;0.746;0.536;13758;219363;"Nordeste"
"Frederico Westphalen";"RS";0;0.76;0.754;0.846;0.688;31120;989447;"Sul"
"Frei Gaspar";"MG";0;0.59;0.569;0.799;0.452;5891;55150;"Norte"
"Frei Inocencio";"MG";0;0.648;0.624;0.779;0.559;9555;95770;"Norte"
"Frei Lagonegro";"MG";0;0.543;0.519;0.749;0.412;3469;27738;"Norte"
"Frei Martinho";"PB";0;0.641;0.631;0.77;0.542;2990;25563;"Nordeste"
"Frei Miguelinho";"PE";0;0.576;0.575;0.758;0.438;15366;97698;"Nordeste"
"Frei Paulo";"SE";0;0.589;0.623;0.768;0.428;15283;191863;"Nordeste"
"Frei Rogerio";"SC";0;0.682;0.664;0.812;0.588;2077;60430;"Sul"
"Fronteira";"MG";0;0.684;0.693;0.871;0.53;17701;1116574;"Norte"
"Fronteira Dos Vales";"MG";0;0.592;0.556;0.813;0.46;4601;34964;"Norte"
"Fronteiras";"PI";0;0.619;0.621;0.748;0.511;11590;184465;"Nordeste"
"Fruta De Leite";"MG";0;0.544;0.548;0.792;0.37;5441;37396;"Norte"
"Frutal";"MG";0;0.73;0.73;0.865;0.615;58962;1625516;"Norte"
"Frutuoso Gomes";"RN";0;0.597;0.565;0.737;0.512;4095;30269;"Nordeste"
"Fundao";"ES";0;0.718;0.708;0.839;0.623;21061;367969;"Norte"
"Funilandia";"MG";0;0.655;0.612;0.844;0.545;4304;49900;"Norte"
"Fatima";"TO";0;0.697;0.653;0.813;0.638;3841;60642;"Norte"
"Fatima";"BA";0;0.559;0.554;0.686;0.459;17601;222596;"Nordeste"
"Fatima Do Sul";"MS";0;0.714;0.719;0.815;0.621;19234;403568;"Centro-Oeste"
"Fenix";"PR";0;0.716;0.669;0.825;0.665;4777;138609;"Sul"
"Gabriel Monteiro";"SP";0;0.763;0.721;0.809;0.762;2776;59427;"Norte"
"Gado Bravo";"PB";0;0.513;0.491;0.737;0.373;8448;57799;"Nordeste"
"Galileia";"MG";0;0.654;0.645;0.795;0.546;6844;72019;"Norte"
"Galinhos";"RN";0;0.564;0.578;0.723;0.429;2726;68047;"Nordeste"
"Galvao";"SC";0;0.708;0.704;0.815;0.618;2956;80381;"Sul"
"Gameleira";"PE";0;0.602;0.541;0.759;0.532;30780;238090;"Nordeste"
"Gameleira De Goias";"GO";0;0.659;0.692;0.828;0.499;3753;129316;"Centro-Oeste"
