"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Abadia De Goias";"GO";0;0.708;0.687;0.83;0.622;8583;166412;"Centro-Oeste"
"Abadia Dos Dourados";"MG";0;0.689;0.693;0.839;0.563;6972;180089;"Norte"
"Abadiania";"GO";0;0.689;0.671;0.841;0.579;19614;287984;"Centro-Oeste"
"Abaetetuba";"PA";0;0.628;0.579;0.798;0.537;156292;1249255;"Norte"
"Abaete";"MG";0;0.698;0.72;0.848;0.556;23223;430235;"Norte"
"Abaiara";"CE";0;0.628;0.54;0.748;0.612;11663;73151;"Nordeste"
"Abare";"BA";0;0.575;0.533;0.776;0.46;19814;124754;"Nordeste"
"Abatia";"PR";0;0.687;0.676;0.804;0.596;7507;165048;"Sul"
"Abaira";"BA";0;0.603;0.577;0.746;0.51;8767;64325;"Nordeste"
"Abdon Batista";"SC";0;0.694;0.66;0.812;0.625;2577;64742;"Sul"
"Abel Figueiredo";"PA";0;0.622;0.625;0.8;0.481;7382;79658;"Norte"
"Abelardo Luz";"SC";0;0.696;0.684;0.852;0.578;17847;604280;"Sul"
"Abre Campo";"MG";0;0.654;0.646;0.823;0.525;13465;187904;"Norte"
"Abreu E Lima";"PE";0;0.679;0.625;0.791;0.632;99622;1424506;"Nordeste"
"Abreulandia";"TO";0;0.665;0.7;0.835;0.502;2564;47378;"Norte"
"Acaiaca";"MG";0;0.63;0.61;0.823;0.499;3994;36424;"Norte"
"Acajutiba";"BA";0;0.582;0.56;0.723;0.487;15129;115158;"Nordeste"
"Acarape";"CE";0;0.606;0.559;0.709;0.562;15399;128391;"Nordeste"
"Acarau";"CE";0;0.601;0.554;0.758;0.517;62557;580727;"Nordeste"
"Acari";"RN";0;0.679;0.633;0.779;0.634;11152;108583;"Nordeste"
"Acara";"PA";0;0.506;0.517;0.757;0.332;55513;788416;"Norte"
"Acaua";"PI";0;0.528;0.517;0.692;0.411;7065;42603;"Nordeste"
"Acegua";"RS";0;0.687;0.703;0.852;0.541;4858;250332;"Sul"
"Acopiara";"CE";0;0.595;0.563;0.724;0.517;53931;371701;"Nordeste"
"Acorizal";"MT";0;0.628;0.594;0.816;0.51;5424;70837;"Centro-Oeste"
"Acrelandia";"AC";0;0.604;0.584;0.808;0.466;15020;227611;"Norte"
"Acreuna";"GO";0;0.686;0.71;0.822;0.553;22182;614411;"Centro-Oeste"
"Adamantina";"SP";0;0.79;0.772;0.852;0.75;35023;1152441;"Norte"
"Adelandia";"GO";0;0.702;0.664;0.836;0.622;2517;31964;"Centro-Oeste"
"Adolfo";"SP";0;0.73;0.71;0.844;0.648;3571;86466;"Norte"
"Adrianopolis";"PR";0;0.667;0.644;0.817;0.563;5983;239080;"Sul"
"Adustina";"BA";0;0.546;0.526;0.718;0.432;16784;101478;"Nordeste"
"Afogados Da Ingazeira";"PE";0;0.657;0.623;0.807;0.565;37111;385649;"Nordeste"
"Afonso Bezerra";"RN";0;0.585;0.56;0.713;0.502;11041;84785;"Nordeste"
"Afonso Claudio";"ES";0;0.667;0.661;0.825;0.544;30720;472477;"Norte"
"Afonso Cunha";"MA";0;0.529;0.471;0.725;0.434;6469;35459;"Nordeste"
"Afranio";"PE";0;0.588;0.542;0.761;0.493;19456;150340;"Nordeste"
"Afua";"PA";0;0.489;0.485;0.774;0.311;38863;315991;"Norte"
"Agrestina";"PE";0;0.592;0.581;0.76;0.47;24702;220690;"Nordeste"
"Agricolandia";"PI";0;0.599;0.55;0.742;0.526;5148;29519;"Nordeste"
"Agrolandia";"SC";0;0.725;0.727;0.827;0.633;10711;225802;"Sul"
"Agronomica";"SC";0;0.741;0.774;0.884;0.595;5385;138390;"Sul"
"Aguanil";"MG";0;0.663;0.672;0.845;0.513;4448;64778;"Norte"
"Aguai";"SP";0;0.715;0.703;0.858;0.606;35954;764288;"Norte"
"Agudo";"RS";0;0.694;0.752;0.847;0.524;16524;423647;"Sul"
"Agudos";"SP";0;0.745;0.705;0.845;0.694;37023;2562986;"Norte"
"Agudos Do Sul";"PR";0;0.66;0.671;0.79;0.543;9269;167967;"Sul"
"Aguiar";"PB";0;0.597;0.632;0.753;0.447;5571;44348;"Nordeste"
"Aguiarnopolis";"TO";0;0.657;0.618;0.804;0.571;6572;134621;"Norte"
"Aimores";"MG";0;0.684;0.685;0.81;0.576;25193;410203;"Norte"
"Aiquara";"BA";0;0.583;0.573;0.733;0.471;4478;49816;"Nordeste"
"Aiuaba";"CE";0;0.569;0.518;0.749;0.474;17303;101674;"Nordeste"
"Aiuruoca";"MG";0;0.668;0.677;0.871;0.505;6032;98629;"Norte"
"Ajuricaba";"RS";0;0.753;0.763;0.85;0.658;7063;263539;"Sul"
"Alagoa";"MG";0;0.649;0.634;0.832;0.518;2683;31436;"Norte"
"Alagoa Grande";"PB";0;0.582;0.576;0.797;0.43;28623;239657;"Nordeste"
"Alagoa Nova";"PB";0;0.576;0.567;0.749;0.451;20589;250857;"Nordeste"
"Alagoinha";"PE";0;0.599;0.569;0.801;0.472;14554;118971;"Nordeste"
"Alagoinha";"PB";0;0.595;0.574;0.795;0.462;14367;99564;"Nordeste"
"Alagoinha Do Piaui";"PI";0;0.531;0.535;0.716;0.391;7636;45834;"Nordeste"
"Alagoinhas";"BA";0;0.683;0.681;0.79;0.592;150832;3177575;"Nordeste"
"Alambari";"SP";0;0.712;0.682;0.805;0.658;5918;87284;"Norte"
"Albertina";"MG";0;0.673;0.684;0.813;0.549;3003;78420;"Norte"
"Alcantil";"PB";0;0.578;0.55;0.765;0.458;5473;38957;"Nordeste"
"Alcinopolis";"MS";0;0.711;0.733;0.858;0.572;5268;157013;"Centro-Oeste"
"Alcobaca";"BA";0;0.608;0.611;0.771;0.476;22449;260134;"Nordeste"
"Alcantara";"MA";0;0.573;0.525;0.753;0.475;22083;117495;"Nordeste"
"Alcantaras";"CE";0;0.6;0.549;0.751;0.524;11529;59582;"Nordeste"
"Aldeias Altas";"MA";0;0.513;0.5;0.72;0.374;26302;169252;"Nordeste"
"Alecrim";"RS";0;0.672;0.683;0.852;0.522;6077;101174;"Sul"
"Alegre";"ES";0;0.721;0.708;0.839;0.63;30568;487304;"Norte"
"Alegrete";"RS";0;0.74;0.72;0.849;0.664;74173;1853528;"Sul"
"Alegrete Do Piaui";"PI";0;0.585;0.564;0.749;0.475;4912;34019;"Nordeste"
"Alegria";"RS";0;0.695;0.717;0.818;0.572;3559;106799;"Sul"
"Alenquer";"PA";0;0.564;0.529;0.779;0.436;56480;659490;"Norte"
"Alexandria";"RN";0;0.606;0.581;0.779;0.491;13602;118765;"Nordeste"
"Alexania";"GO";0;0.682;0.664;0.841;0.568;27288;1400948;"Centro-Oeste"
"Alfenas";"MG";0;0.761;0.737;0.841;0.712;79481;2294655;"Norte"
"Alfredo Chaves";"ES";0;0.71;0.703;0.832;0.611;14566;350114;"Norte"
"Alfredo Marcondes";"SP";0;0.741;0.682;0.84;0.71;4147;74432;"Norte"
"Alfredo Vasconcelos";"MG";0;0.675;0.629;0.834;0.587;6831;93228;"Norte"
"Alfredo Wagner";"SC";0;0.668;0.702;0.882;0.481;9984;271765;"Sul"
"Algodao De Jandaira";"PB";0;0.548;0.532;0.749;0.413;2488;23154;"Nordeste"
"Alhandra";"PB";0;0.582;0.544;0.778;0.465;19391;864001;"Nordeste"
"Alianca";"PE";0;0.604;0.565;0.799;0.488;38375;320138;"Nordeste"
"Alianca Do Tocantins";"TO";0;0.663;0.61;0.801;0.596;5434;94300;"Norte"
"Almadina";"BA";0;0.563;0.563;0.751;0.421;5566;55434;"Nordeste"
"Almas";"TO";0;0.636;0.616;0.796;0.524;7131;125459;"Norte"
"Almeirim";"PA";0;0.642;0.659;0.809;0.497;34142;589310;"Norte"
"Almenara";"MG";0;0.642;0.636;0.803;0.518;41642;474544;"Norte"
"Almino Afonso";"RN";0;0.624;0.578;0.739;0.568;4761;34009;"Nordeste"
"Almirante Tamandare";"PR";0;0.699;0.706;0.84;0.575;117168;1396289;"Sul"
"Almirante Tamandare Do Sul";"RS";0;0.74;0.732;0.828;0.669;1979;137834;"Sul"
"Aloandia";"GO";0;0.697;0.694;0.834;0.585;2005;38746;"Centro-Oeste"
"Alpercata";"MG";0;0.646;0.629;0.824;0.521;7411;76613;"Norte"
"Alpestre";"RS";0;0.671;0.7;0.795;0.543;6458;451529;"Sul"
"Alpinopolis";"MG";0;0.725;0.703;0.862;0.629;19745;347427;"Norte"
"Alta Floresta";"MT";0;0.714;0.709;0.817;0.629;51615;1583783;"Centro-Oeste"
"Alta Floresta D'Oeste";"RO";0;0.641;0.657;0.763;0.526;23167;477783;"Norte"
"Altair";"SP";0;0.687;0.698;0.8;0.581;4134;200101;"Norte"
"Altamira";"PA";0;0.665;0.662;0.811;0.548;113195;2472773;"Norte"
"Altamira Do Maranhao";"MA";0;0.549;0.486;0.719;0.473;8066;62194;"Nordeste"
"Altamira Do Parana";"PR";0;0.667;0.667;0.78;0.571;2209;71752;"Sul"
"Altaneira";"CE";0;0.602;0.547;0.774;0.515;7521;45212;"Nordeste"
"Alterosa";"MG";0;0.668;0.657;0.847;0.536;14414;212752;"Norte"
"Altinho";"PE";0;0.598;0.559;0.792;0.482;22959;139837;"Nordeste"
"Altinopolis";"SP";0;0.73;0.726;0.843;0.635;16164;462342;"Norte"
"Alto Alegre";"SP";0;0.7;0.683;0.817;0.616;4110;102142;"Norte"
"Alto Alegre";"RR";0;0.542;0.518;0.813;0.379;0;2272;"Norte"
"Alto Alegre";"RS";0;0.747;0.756;0.859;0.642;1663;66046;"Sul"
"Alto Alegre Do Maranhao";"MA";0;0.554;0.516;0.744;0.444;26839;217024;"Nordeste"
"Alto Alegre Do Pindare";"MA";0;0.558;0.465;0.774;0.483;31894;175650;"Nordeste"
"Alto Alegre Dos Parecis";"RO";0;0.592;0.603;0.777;0.443;13227;230030;"Norte"
"Alto Araguaia";"MT";0;0.704;0.712;0.802;0.612;18703;897376;"Centro-Oeste"
"Alto Bela Vista";"SC";0;0.755;0.734;0.882;0.664;1948;48854;"Sul"
"Alto Boa Vista";"MT";0;0.651;0.613;0.803;0.561;6659;106462;"Centro-Oeste"
"Alto Caparao";"MG";0;0.661;0.666;0.842;0.514;5799;87283;"Norte"
"Alto Do Rodrigues";"RN";0;0.672;0.647;0.8;0.585;14326;426213;"Nordeste"
"Alto Feliz";"RS";0;0.734;0.74;0.886;0.603;3020;83125;"Sul"
"Alto Garcas";"MT";0;0.701;0.707;0.835;0.583;11868;586397;"Centro-Oeste"
"Alto Horizonte";"GO";0;0.719;0.709;0.841;0.624;6218;392194;"Centro-Oeste"
"Alto Jequitiba";"MG";0;0.66;0.66;0.787;0.554;8333;103913;"Norte"
"Alto Longa";"PI";0;0.585;0.567;0.751;0.47;14268;86718;"Nordeste"
"Alto Paraguai";"MT";0;0.638;0.612;0.784;0.541;11238;108795;"Centro-Oeste"
"Alto Parana";"PR";0;0.696;0.679;0.846;0.587;14679;269870;"Sul"
"Alto Paraiso";"RO";0;0.625;0.664;0.804;0.457;20999;287085;"Norte"
"Alto Paraiso";"PR";0;0.678;0.677;0.829;0.556;2799;83354;"Sul"
"Alto Paraiso De Goias";"GO";0;0.713;0.723;0.819;0.611;7558;160143;"Centro-Oeste"
"Alto Parnaiba";"MA";0;0.633;0.683;0.785;0.474;11168;184858;"Nordeste"
"Alto Piquiri";"PR";0;0.676;0.669;0.798;0.578;9896;252998;"Sul"
"Alto Rio Doce";"MG";0;0.62;0.595;0.828;0.483;11146;133935;"Norte"
"Alto Rio Novo";"ES";0;0.664;0.634;0.815;0.567;7798;85451;"Norte"
"Alto Santo";"CE";0;0.601;0.563;0.774;0.499;17096;133551;"Nordeste"
"Alto Taquari";"MT";0;0.705;0.736;0.833;0.571;10557;1038520;"Centro-Oeste"
"Altos";"PI";0;0.614;0.59;0.767;0.512;40440;346462;"Nordeste"
"Altonia";"PR";0;0.721;0.69;0.848;0.641;21933;334561;"Sul"
"Aluminio";"SP";0;0.766;0.729;0.841;0.732;18484;1808351;"Norte"
"Alvarenga";"MG";0;0.592;0.589;0.798;0.441;3973;37585;"Norte"
"Alvaraes";"AM";0;0.527;0.499;0.778;0.377;15860;147946;"Norte"
"Alvinlandia";"SP";0;0.722;0.721;0.791;0.659;3206;47169;"Norte"
"Alvinopolis";"MG";0;0.676;0.651;0.822;0.577;15239;268755;"Norte"
"Alvorada";"TO";0;0.708;0.677;0.843;0.623;8427;270979;"Norte"
"Alvorada";"RS";0;0.699;0.694;0.874;0.564;209213;2523140;"Sul"
"Alvorada D'Oeste";"RO";0;0.643;0.654;0.763;0.534;14722;243560;"Norte"
"Alvorada De Minas";"MG";0;0.572;0.57;0.794;0.414;3606;47223;"Norte"
"Alvorada Do Gurgueia";"PI";0;0.578;0.52;0.749;0.496;5392;52281;"Nordeste"
"Alvorada Do Norte";"GO";0;0.66;0.64;0.819;0.548;8614;112651;"Centro-Oeste"
"Alvorada Do Sul";"PR";0;0.708;0.695;0.826;0.617;11306;244452;"Sul"
"Alem Paraiba";"MG";0;0.726;0.713;0.857;0.626;35321;820380;"Norte"
"Amajari";"RR";0;0.484;0.437;0.815;0.319;12394;139171;"Norte"
"Amambai";"MS";0;0.673;0.683;0.818;0.546;38958;877582;"Centro-Oeste"
"Amapora";"PR";0;0.669;0.644;0.785;0.591;6181;102760;"Sul"
"Amapa";"AP";0;0.642;0.631;0.79;0.532;9029;143556;""
"Amapa Do Maranhao";"MA";0;0.52;0.503;0.688;0.406;6918;48652;"Nordeste"
"Amaraji";"PE";0;0.58;0.575;0.748;0.454;22788;187138;"Nordeste"
"Amaral Ferrador";"RS";0;0.624;0.664;0.802;0.457;6974;110248;"Sul"
"Amaralina";"GO";0;0.609;0.569;0.813;0.489;3778;51044;"Centro-Oeste"
"Amarante";"PI";0;0.598;0.574;0.75;0.497;17592;124661;"Nordeste"
"Amarante Do Maranhao";"MA";0;0.555;0.541;0.716;0.441;41136;285206;"Nordeste"
"Amargosa";"BA";0;0.625;0.616;0.807;0.492;37031;338286;"Nordeste"
"Amatura";"AM";0;0.56;0.499;0.773;0.455;11332;66232;"Norte"
"Americana";"SP";0;0.811;0.8;0.876;0.76;237112;10287915;"Norte"
"Americano Do Brasil";"GO";0;0.7;0.669;0.813;0.631;6057;81818;"Centro-Oeste"
"Ametista Do Sul";"RS";0;0.682;0.697;0.809;0.562;7416;92415;"Sul"
"Amontada";"CE";0;0.606;0.503;0.761;0.582;43131;421576;"Nordeste"
"Amorinopolis";"GO";0;0.681;0.672;0.813;0.579;3185;54682;"Centro-Oeste"
"Amparo";"SP";0;0.785;0.78;0.871;0.711;71700;3443771;"Norte"
"Amparo";"PB";0;0.606;0.537;0.752;0.551;2227;21979;"Nordeste"
"Amparo De Sao Francisco";"SE";0;0.611;0.569;0.728;0.55;2368;25943;"Nordeste"
"Amparo Do Serra";"MG";0;0.641;0.616;0.811;0.528;4751;46810;"Norte"
"Ampere";"PR";0;0.709;0.699;0.824;0.62;18989;526160;"Sul"
"Amelia Rodrigues";"BA";0;0.666;0.609;0.81;0.6;25224;280400;"Nordeste"
"America Dourada";"BA";0;0.561;0.506;0.751;0.464;16097;120759;"Nordeste"
"Americo Brasiliense";"SP";0;0.751;0.709;0.852;0.701;39962;837641;"Norte"
"Americo De Campos";"SP";0;0.745;0.715;0.817;0.708;5956;99184;"Norte"
"Anadia";"AL";0;0.568;0.546;0.756;0.444;17564;140492;"Nordeste"
"Anage";"BA";0;0.54;0.549;0.771;0.371;18194;160376;"Nordeste"
"Anahy";"PR";0;0.695;0.671;0.844;0.593;2816;87716;"Sul"
"Anajatuba";"MA";0;0.581;0.523;0.762;0.492;26614;173717;"Nordeste"
"Anajas";"PA";0;0.484;0.506;0.774;0.29;28859;189225;"Norte"
"Analandia";"SP";0;0.754;0.745;0.861;0.668;4933;142577;"Norte"
"Anama";"AM";0;0.594;0.537;0.741;0.526;13269;95318;"Norte"
"Ananindeua";"PA";0;0.718;0.684;0.821;0.658;525566;6710890;"Norte"
"Ananas";"TO";0;0.671;0.621;0.804;0.605;9607;108866;"Norte"
"Anapu";"PA";0;0.548;0.563;0.788;0.371;27161;309602;"Norte"
"Anapurus";"MA";0;0.581;0.511;0.764;0.502;15566;133577;"Nordeste"
"Anastacio";"MS";0;0.663;0.663;0.789;0.557;25128;412378;"Centro-Oeste"
"Anaurilandia";"MS";0;0.67;0.676;0.826;0.538;8993;213340;"Centro-Oeste"
"Anchieta";"ES";0;0.73;0.696;0.856;0.654;28736;713453;"Norte"
"Anchieta";"SC";0;0.699;0.703;0.8;0.608;5721;138440;"Sul"
"Andarai";"BA";0;0.555;0.54;0.764;0.415;13153;95028;"Nordeste"
"Andira";"PR";0;0.725;0.69;0.838;0.66;20139;685605;"Sul"
"Andorinha";"BA";0;0.588;0.586;0.731;0.474;14690;172216;"Nordeste"
"Andradas";"MG";0;0.734;0.731;0.878;0.617;40747;854890;"Norte"
"Andradina";"SP";0;0.779;0.762;0.885;0.702;57112;3109727;"Norte"
"Andrelandia";"MG";0;0.7;0.675;0.818;0.621;12242;195341;"Norte"
"Andre Da Rocha";"RS";0;0.72;0.738;0.837;0.605;1324;123540;"Sul"
"Angatuba";"SP";0;0.719;0.693;0.827;0.648;24969;834417;"Norte"
"Angelim";"PE";0;0.572;0.555;0.751;0.448;11072;110369;"Nordeste"
"Angelina";"SC";0;0.687;0.699;0.797;0.581;4860;113613;"Sul"
"Angelandia";"MG";0;0.597;0.594;0.756;0.473;8481;79875;"Norte"
"Angical";"BA";0;0.625;0.564;0.778;0.556;14017;143722;"Nordeste"
"Angical Do Piaui";"PI";0;0.63;0.61;0.737;0.555;6792;49406;"Nordeste"
"Angico";"TO";0;0.648;0.576;0.773;0.612;3417;44021;"Norte"
"Angicos";"RN";0;0.624;0.606;0.756;0.53;11724;119328;"Nordeste"
"Angra Dos Reis";"RJ";0;0.724;0.74;0.846;0.605;200407;9122561;"Norte"
"Anguera";"BA";0;0.589;0.565;0.766;0.471;11142;61805;"Nordeste"
"Angelica";"MS";0;0.697;0.692;0.839;0.582;10620;627506;"Centro-Oeste"
"Anhanguera";"GO";0;0.725;0.724;0.802;0.657;1137;15935;"Centro-Oeste"
"Anhembi";"SP";0;0.721;0.681;0.863;0.637;6627;128698;"Norte"
"Anhumas";"SP";0;0.741;0.683;0.845;0.706;4085;68007;"Norte"
"Anicuns";"GO";0;0.714;0.695;0.834;0.627;21717;408657;"Centro-Oeste"
"Anita Garibaldi";"SC";0;0.688;0.667;0.826;0.592;7313;139116;"Sul"
"Anitapolis";"SC";0;0.674;0.699;0.836;0.524;3236;59858;"Sul"
"Anori";"AM";0;0.561;0.54;0.757;0.433;20538;177193;"Norte"
"Anta Gorda";"RS";0;0.74;0.742;0.868;0.63;6003;187361;"Sul"
"Antas";"BA";0;0.592;0.573;0.739;0.491;19093;112595;"Nordeste"
"Antonina";"PR";0;0.687;0.686;0.838;0.564;19011;525246;"Sul"
"Antonina Do Norte";"CE";0;0.599;0.55;0.772;0.506;7328;51467;"Nordeste"
"Antonio Almeida";"PI";0;0.62;0.579;0.781;0.527;3158;45887;"Nordeste"
"Antonio Cardoso";"BA";0;0.561;0.544;0.768;0.422;11691;90898;"Nordeste"
"Antonio Carlos";"SC";0;0.749;0.768;0.89;0.615;8411;599250;"Sul"
"Antonio Carlos";"MG";0;0.683;0.65;0.838;0.584;11432;140913;"Norte"
"Antonio Dias";"MG";0;0.645;0.624;0.849;0.507;9363;144725;"Norte"
"Antonio Goncalves";"BA";0;0.598;0.58;0.741;0.498;11715;63539;"Nordeste"
"Antonio Joao";"MS";0;0.643;0.633;0.799;0.526;8891;200144;"Centro-Oeste"
"Antonio Martins";"RN";0;0.578;0.554;0.76;0.458;7137;49751;"Nordeste"
"Antonio Olinto";"PR";0;0.656;0.626;0.825;0.547;7441;165598;"Sul"
"Antonio Prado";"RS";0;0.758;0.777;0.835;0.671;13055;513674;"Sul"
"Antonio Prado De Minas";"MG";0;0.684;0.674;0.83;0.572;1609;21310;"Norte"
"Anapolis";"GO";0;0.737;0.737;0.822;0.66;381970;13118759;"Centro-Oeste"
"Anisio De Abreu";"PI";0;0.594;0.534;0.768;0.512;9818;68332;"Nordeste"
"Aparecida";"SP";0;0.755;0.735;0.828;0.706;36129;1115003;"Norte"
"Aparecida";"PB";0;0.578;0.567;0.747;0.456;8337;72523;"Nordeste"
"Aparecida D'Oeste";"SP";0;0.721;0.697;0.804;0.67;4234;98439;"Norte"
"Aparecida De Goiania";"GO";0;0.718;0.716;0.834;0.62;565957;11980985;"Centro-Oeste"
"Aparecida Do Rio Doce";"GO";0;0.693;0.7;0.814;0.583;2474;73902;"Centro-Oeste"
"Aparecida Do Rio Negro";"TO";0;0.651;0.593;0.791;0.588;4741;73526;"Norte"
"Aparecida Do Taboado";"MS";0;0.697;0.717;0.804;0.588;25431;893501;"Centro-Oeste"
"Aperibe";"RJ";0;0.692;0.67;0.785;0.631;11612;168019;"Norte"
"Apiaca";"ES";0;0.673;0.659;0.841;0.549;7580;93282;"Norte"
"Apiacas";"MT";0;0.675;0.666;0.809;0.57;9979;132494;"Centro-Oeste"
"Apiai";"SP";0;0.71;0.662;0.835;0.647;24526;614359;"Norte"
"Apicum-Acu";"MA";0;0.568;0.529;0.718;0.483;17063;103720;"Nordeste"
"Apiuna";"SC";0;0.708;0.735;0.827;0.584;10636;386749;"Sul"
"Apodi";"RN";0;0.639;0.611;0.747;0.571;35814;419633;"Nordeste"
"Apora";"BA";0;0.548;0.516;0.751;0.425;17673;118226;"Nordeste"
"Apore";"GO";0;0.693;0.692;0.823;0.584;4163;302534;"Centro-Oeste"
"Apuarema";"BA";0;0.552;0.555;0.735;0.413;7360;67914;"Nordeste"
"Apucarana";"PR";0;0.748;0.741;0.845;0.668;133726;2965782;"Sul"
"Apuiares";"CE";0;0.618;0.536;0.741;0.593;14814;92920;"Nordeste"
"Apui";"AM";0;0.637;0.621;0.772;0.54;21583;185275;"Norte"
"Aquidaba";"SE";0;0.578;0.573;0.747;0.452;21443;233417;"Nordeste"
"Aquidauana";"MS";0;0.688;0.69;0.84;0.562;47784;878711;"Centro-Oeste"
"Aquiraz";"CE";0;0.641;0.608;0.788;0.55;79563;2144232;"Nordeste"
"Arabuta";"SC";0;0.733;0.744;0.863;0.614;4266;106727;"Sul"
"Aracaju";"SE";1;0.77;0.784;0.823;0.708;648939;16498482;"Nordeste"
"Aracati";"CE";0;0.655;0.607;0.742;0.624;74084;1214577;"Nordeste"
"Aracatu";"BA";0;0.581;0.591;0.754;0.439;13229;89349;"Nordeste"
"Araci";"BA";0;0.534;0.534;0.747;0.381;54099;391894;"Nordeste"
"Aracitaba";"MG";0;0.661;0.608;0.823;0.577;2066;22156;"Norte"
"Aracoiaba";"CE";0;0.615;0.55;0.759;0.556;26437;191000;"Nordeste"
"Aracruz";"ES";0;0.752;0.717;0.838;0.707;99305;4609369;"Norte"
"Aragarcas";"GO";0;0.732;0.694;0.83;0.68;19959;215076;"Centro-Oeste"
"Aragoiania";"GO";0;0.684;0.683;0.837;0.56;10116;99130;"Centro-Oeste"
"Aragominas";"TO";0;0.593;0.611;0.739;0.461;5786;63870;"Norte"
"Araguacema";"TO";0;0.639;0.587;0.805;0.553;7016;94608;"Norte"
"Araguaiana";"MT";0;0.687;0.671;0.817;0.591;3119;73050;"Centro-Oeste"
"Araguainha";"MT";0;0.701;0.65;0.844;0.627;956;18484;"Centro-Oeste"
"Araguana";"TO";0;0.604;0.617;0.756;0.473;5663;66863;"Norte"
"Araguana";"MA";0;0.533;0.483;0.706;0.444;15297;77289;"Nordeste"
"Araguapaz";"GO";0;0.674;0.696;0.814;0.54;7756;114657;"Centro-Oeste"
"Araguari";"MG";0;0.773;0.74;0.871;0.716;116691;3923828;"Norte"
"Araguatins";"TO";0;0.631;0.604;0.793;0.525;35346;377258;"Norte"
"Araguacu";"TO";0;0.675;0.642;0.796;0.602;8567;181312;"Norte"
"Araguaina";"TO";0;0.752;0.727;0.821;0.712;177517;3805223;"Norte"
"Araioses";"MA";0;0.521;0.497;0.709;0.402;46103;259119;"Nordeste"
"Aral Moreira";"MS";0;0.633;0.628;0.798;0.507;11963;582036;"Centro-Oeste"
"Aramari";"BA";0;0.588;0.568;0.761;0.47;11332;84880;"Nordeste"
"Arambare";"RS";0;0.691;0.694;0.833;0.57;3600;131687;"Sul"
"Arame";"MA";0;0.512;0.525;0.701;0.365;32637;222309;"Nordeste"
"Aramina";"SP";0;0.74;0.723;0.856;0.656;5585;125633;"Norte"
"Arandu";"SP";0;0.685;0.675;0.806;0.592;6348;131273;"Norte"
"Arantina";"MG";0;0.697;0.633;0.834;0.641;2804;53418;"Norte"
"Arapei";"SP";0;0.68;0.634;0.812;0.612;2478;25889;"Norte"
"Arapiraca";"AL";0;0.649;0.638;0.78;0.549;230417;4012632;"Nordeste"
"Arapoema";"TO";0;0.68;0.645;0.81;0.601;6670;106400;"Norte"
"Araponga";"MG";0;0.536;0.597;0.76;0.339;8425;83027;"Norte"
"Arapongas";"PR";0;0.748;0.751;0.834;0.669;121198;4030758;"Sul"
"Arapora";"MG";0;0.708;0.676;0.813;0.646;6804;1081827;"Norte"
"Arapoti";"PR";0;0.723;0.715;0.823;0.643;27925;1042279;"Sul"
"Araputanga";"MT";0;0.725;0.704;0.826;0.655;16690;414409;"Centro-Oeste"
"Arapua";"MG";0;0.724;0.718;0.871;0.608;2833;116946;"Norte"
"Arapua";"PR";0;0.676;0.638;0.828;0.584;3128;97048;"Sul"
"Araquari";"SC";0;0.703;0.696;0.83;0.602;36710;3203652;"Sul"
"Arara";"PB";0;0.548;0.569;0.712;0.407;13438;90214;"Nordeste"
"Ararangua";"SC";0;0.76;0.745;0.853;0.691;67578;1573104;"Sul"
"Araraquara";"SP";0;0.815;0.788;0.877;0.782;233744;8932928;"Norte"
"Araras";"SP";0;0.781;0.763;0.859;0.728;132934;4997486;"Norte"
"Ararenda";"CE";0;0.59;0.522;0.763;0.516;10901;65189;"Nordeste"
"Arari";"MA";0;0.626;0.587;0.764;0.546;29764;234791;"Nordeste"
"Ararica";"RS";0;0.679;0.696;0.824;0.547;5622;152052;"Sul"
"Araripe";"CE";0;0.564;0.515;0.759;0.459;21550;148550;"Nordeste"
"Araripina";"PE";0;0.602;0.595;0.785;0.467;83964;786673;"Nordeste"
"Araruama";"RJ";0;0.718;0.714;0.839;0.617;130439;2467326;"Norte"
"Araruna";"PR";0;0.704;0.685;0.785;0.648;13939;448453;"Sul"
"Araruna";"PB";0;0.567;0.549;0.758;0.439;20215;154892;"Nordeste"
"Arataca";"BA";0;0.559;0.557;0.758;0.413;11079;97942;"Nordeste"
"Aratiba";"RS";0;0.772;0.801;0.856;0.67;6283;954871;"Sul"
"Aratuba";"CE";0;0.622;0.53;0.775;0.587;11346;93610;"Nordeste"
"Aratuipe";"BA";0;0.575;0.57;0.753;0.443;8813;67349;"Nordeste"
"Araucaria";"PR";0;0.74;0.743;0.852;0.639;141410;16978801;"Sul"
"Araua";"SE";0;0.595;0.55;0.783;0.49;10168;111429;"Nordeste"
"Araxa";"MG";0;0.772;0.756;0.858;0.709;105083;4761350;"Norte"
"Aracagi";"PB";0;0.549;0.54;0.745;0.412;17079;141732;"Nordeste"
"Aracariguama";"SP";0;0.704;0.717;0.814;0.597;21854;2121497;"Norte"
"Aracatuba";"SP";0;0.788;0.782;0.841;0.744;195874;6938553;"Norte"
"Aracai";"MG";0;0.695;0.659;0.805;0.632;2341;45297;"Norte"
"Aracoiaba";"PE";0;0.592;0.544;0.765;0.498;20312;128577;"Nordeste"
