epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202205,2022-01-30,576,RS,Pirapó,4314555,city,220,9760.42591,0,17,0,0.0773,2254,True,False
202205,2022-01-30,676,RS,Piratini,4314605,city,1528,7380.21638,8,37,0,0.0242,20704,True,False
202205,2022-01-30,633,RS,Planalto,4314704,city,1341,13384.56932,0,22,0,0.0164,10019,True,False
202205,2022-01-30,638,RS,Poço das Antas,4314753,city,390,18562.58924,1,1,0,0.0026,2101,True,False
202205,2022-01-30,646,RS,Pontão,4314779,city,363,9305.30633,1,10,0,0.0275,3901,True,False
202205,2022-01-30,605,RS,Ponte Preta,4314787,city,201,13188.97638,1,2,0,0.01,1524,True,False
202205,2022-01-30,630,RS,Portão,4314803,city,5339,14214.21155,17,133,1,0.0249,37561,True,False
202205,2022-01-30,691,RS,Porto Alegre,4314902,city,213482,14344.4793,601,5891,3,0.0276,1488252,True,False
202205,2022-01-30,536,RS,Porto Lucena,4315008,city,502,10927.29647,0,7,0,0.0139,4594,True,False
202205,2022-01-30,621,RS,Porto Mauá,4315057,city,279,11862.2449,0,7,0,0.0251,2352,True,False
202205,2022-01-30,528,RS,Porto Vera Cruz,4315073,city,163,12461.7737,0,5,0,0.0307,1308,True,False
202205,2022-01-30,600,RS,Porto Xavier,4315107,city,2286,22424.95586,4,55,0,0.0241,10194,True,False
202205,2022-01-30,636,RS,Pouso Novo,4315131,city,256,15880.8933,0,4,0,0.0156,1612,True,False
202205,2022-01-30,595,RS,Presidente Lucena,4315149,city,617,21007.83112,2,4,0,0.0065,2937,True,False
202205,2022-01-30,630,RS,Progresso,4315156,city,849,13607.94999,0,14,0,0.0165,6239,True,False
202205,2022-01-30,606,RS,Protásio Alves,4315172,city,134,6914.34469,0,6,0,0.0448,1938,True,False
202205,2022-01-30,526,RS,Putinga,4315206,city,736,18925.17357,1,19,0,0.0258,3889,True,False
202205,2022-01-30,647,RS,Quaraí,4315305,city,3133,13858.53939,23,60,0,0.0192,22607,True,False
202205,2022-01-30,609,RS,Quatro Irmãos,4315313,city,135,7273.7069,0,3,0,0.0222,1856,True,False
202205,2022-01-30,587,RS,Quevedos,4315321,city,306,10967.74194,0,1,0,0.0033,2790,True,False
202205,2022-01-30,594,RS,Quinze de Novembro,4315354,city,770,20247.17328,2,12,0,0.0156,3803,True,False
202205,2022-01-30,620,RS,Redentora,4315404,city,1181,10120.83298,0,31,0,0.0262,11669,True,False
202205,2022-01-30,583,RS,Relvado,4315453,city,260,12506.01251,0,4,0,0.0154,2079,True,False
202205,2022-01-30,629,RS,Restinga Sêca,4315503,city,2006,12741.36179,7,40,0,0.0199,15744,True,False
202205,2022-01-30,621,RS,Rio dos Índios,4315552,city,414,15563.90977,1,10,0,0.0242,2660,True,False
202205,2022-01-30,679,RS,Rio Grande,4315602,city,30609,14440.59161,204,599,1,0.0196,211965,True,False
202205,2022-01-30,658,RS,Rio Pardo,4315701,city,4000,10453.41696,13,106,0,0.0265,38265,True,False
202205,2022-01-30,577,RS,Riozinho,4315750,city,550,11762.18991,0,13,0,0.0236,4676,True,False
202205,2022-01-30,640,RS,Roca Sales,4315800,city,1303,11359.07942,3,28,0,0.0215,11471,True,False
202205,2022-01-30,590,RS,Rodeio Bonito,4315909,city,1222,20824.81254,4,8,0,0.0065,5868,True,False
202205,2022-01-30,532,RS,Rolador,4315958,city,353,15374.56446,0,4,0,0.0113,2296,True,False
202205,2022-01-30,676,RS,Rolante,4316006,city,4689,21857.08293,37,61,0,0.013,21453,True,False
202205,2022-01-30,626,RS,Ronda Alta,4316105,city,1827,17208.25092,48,27,0,0.0148,10617,True,False
202205,2022-01-30,608,RS,Rondinha,4316204,city,1149,22618.11024,1,17,0,0.0148,5080,True,False
202205,2022-01-30,601,RS,Roque Gonzales,4316303,city,943,13873.76784,0,11,0,0.0117,6797,True,False
202205,2022-01-30,650,RS,Rosário do Sul,4316402,city,4794,12194.12932,73,115,0,0.024,39314,True,False
202205,2022-01-30,601,RS,Sagrada Família,4316428,city,617,23685.22073,0,10,0,0.0162,2605,True,False
202205,2022-01-30,642,RS,Saldanha Marinho,4316436,city,600,22883.29519,0,13,0,0.0217,2622,True,False
202205,2022-01-30,621,RS,Salto do Jacuí,4316451,city,1743,13965.22715,7,26,0,0.0149,12481,True,False
202205,2022-01-30,553,RS,Salvador das Missões,4316477,city,563,20600.07318,1,9,0,0.016,2733,True,False
202205,2022-01-30,647,RS,Salvador do Sul,4316501,city,1075,13626.56864,3,4,0,0.0037,7889,True,False
202205,2022-01-30,666,RS,Sananduva,4316600,city,3909,23940.47036,19,37,0,0.0095,16328,True,False
202205,2022-01-30,645,RS,Santa Bárbara do Sul,4316709,city,1628,20584.14465,1,45,0,0.0276,7909,True,False
202205,2022-01-30,613,RS,Santa Cecília do Sul,4316733,city,645,39473.68421,0,3,0,0.0047,1634,True,False
202205,2022-01-30,648,RS,Santa Clara do Sul,4316758,city,583,8726.23859,1,8,0,0.0137,6681,True,False
202205,2022-01-30,666,RS,Santa Cruz do Sul,4316808,city,26402,20098.19967,79,353,0,0.0134,131365,True,False
202205,2022-01-30,583,RS,Santa Margarida do Sul,4316972,city,244,9464.70132,0,5,0,0.0205,2578,True,False
202205,2022-01-30,680,RS,Santa Maria,4316907,city,50768,17896.41035,273,848,1,0.0167,283677,True,False
202205,2022-01-30,597,RS,Santa Maria do Herval,4316956,city,906,14236.32935,1,16,0,0.0177,6364,True,False
202205,2022-01-30,555,RS,Santana da Boa Vista,4317004,city,402,4983.26515,1,12,0,0.0299,8067,True,False
202205,2022-01-30,682,RS,Sant'Ana do Livramento,4317103,city,15020,19680.03564,65,193,0,0.0128,76321,True,False
202205,2022-01-30,675,RS,Santa Rosa,4317202,city,19779,26882.77268,132,208,0,0.0105,73575,True,False
202205,2022-01-30,636,RS,Santa Tereza,4317251,city,303,17555.04056,0,4,0,0.0132,1726,True,False
202205,2022-01-30,612,RS,Santa Vitória do Palmar,4317301,city,4739,16073.66957,11,53,0,0.0112,29483,True,False
202205,2022-01-30,679,RS,Santiago,4317400,city,9203,18644.65154,54,168,0,0.0183,49360,True,False
202205,2022-01-30,643,RS,Santo Ângelo,4317509,city,14115,18196.93688,77,310,0,0.022,77568,True,False
202205,2022-01-30,680,RS,Santo Antônio da Patrulha,4317608,city,6611,15313.52065,6,163,0,0.0247,43171,True,False
202205,2022-01-30,585,RS,Santo Antônio das Missões,4317707,city,632,6288.55721,8,39,0,0.0617,10050,True,False
202205,2022-01-30,620,RS,Santo Antônio do Palma,4317558,city,238,11210.55111,0,4,0,0.0168,2123,True,False
202205,2022-01-30,565,RS,Santo Antônio do Planalto,4317756,city,176,8717.18673,0,2,0,0.0114,2019,True,False
202205,2022-01-30,607,RS,Santo Augusto,4317806,city,2279,16457.25014,6,39,0,0.0171,13848,True,False
202205,2022-01-30,658,RS,Santo Cristo,4317905,city,2368,16657.28756,7,30,0,0.0127,14216,True,False
202205,2022-01-30,580,RS,Santo Expedito do Sul,4317954,city,352,15271.14967,0,8,0,0.0227,2305,True,False
202205,2022-01-30,630,RS,São Borja,4318002,city,10793,17982.63883,9,266,0,0.0246,60019,True,False
202205,2022-01-30,671,RS,São Domingos do Sul,4318051,city,591,19169.63996,1,7,0,0.0118,3083,True,False
202205,2022-01-30,603,RS,São Francisco de Assis,4318101,city,2212,12150.5081,2,34,0,0.0154,18205,True,False
202205,2022-01-30,611,RS,São Francisco de Paula,4318200,city,1942,8907.84826,5,50,0,0.0257,21801,True,False
202205,2022-01-30,669,RS,São Gabriel,4318309,city,9801,15770.67276,51,290,0,0.0296,62147,True,False
202205,2022-01-30,626,RS,São Jerônimo,4318408,city,2107,8631.00115,3,76,0,0.0361,24412,True,False
