date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-21,RS,Sobradinho,city,1697,33,True,15005,4320701,11309.56348,0.0194
2021-12-21,RS,Soledade,city,4566,91,True,31035,4320800,14712.42146,0.0199
2021-12-21,RS,Tabaí,city,562,7,True,4769,4320859,11784.44118,0.0125
2021-12-21,RS,Tapejara,city,4902,55,True,24552,4320909,19965.7869,0.0112
2021-12-21,RS,Tapera,city,1760,46,True,10577,4321006,16639.87898,0.0261
2021-12-21,RS,Tapes,city,1390,63,True,17332,4321105,8019.84768,0.0453
2021-12-21,RS,Taquara,city,5861,183,True,57584,4321204,10178.17449,0.0312
2021-12-21,RS,Taquari,city,3464,76,True,26885,4321303,12884.50809,0.0219
2021-12-21,RS,Taquaruçu do Sul,city,575,8,True,3077,4321329,18687.03282,0.0139
2021-12-21,RS,Tavares,city,538,12,True,5483,4321352,9812.14664,0.0223
2021-12-21,RS,Tenente Portela,city,1865,36,True,13434,4321402,13882.68572,0.0193
2021-12-21,RS,Terra de Areia,city,809,51,True,11315,4321436,7149.80115,0.063
2021-12-21,RS,Teutônia,city,5250,94,True,33766,4321451,15548.18456,0.0179
2021-12-21,RS,Tio Hugo,city,447,9,True,3055,4321469,14631.75123,0.0201
2021-12-21,RS,Tiradentes do Sul,city,320,8,True,5616,4321477,5698.0057,0.025
2021-12-21,RS,Toropi,city,340,12,True,2772,4321493,12265.51227,0.0353
2021-12-21,RS,Torres,city,6220,114,True,39064,4321501,15922.58857,0.0183
2021-12-21,RS,Tramandaí,city,7558,229,True,52632,4321600,14360.08512,0.0303
2021-12-21,RS,Travesseiro,city,259,8,True,2334,4321626,11096.82948,0.0309
2021-12-21,RS,Três Arroios,city,234,2,True,2643,4321634,8853.57548,0.0085
2021-12-21,RS,Três Cachoeiras,city,1230,27,True,11115,4321667,11066.12686,0.022
2021-12-21,RS,Três Coroas,city,3246,76,True,28581,4321709,11357.19534,0.0234
2021-12-21,RS,Três de Maio,city,3471,45,True,23876,4321808,14537.61099,0.013
2021-12-21,RS,Três Forquilhas,city,432,7,True,2669,4321832,16185.83739,0.0162
2021-12-21,RS,Três Palmeiras,city,621,18,True,4251,4321857,14608.32745,0.029
2021-12-21,RS,Três Passos,city,2990,69,True,23852,4321907,12535.63642,0.0231
2021-12-21,RS,Trindade do Sul,city,880,18,True,5791,4321956,15195.99378,0.0205
2021-12-21,RS,Triunfo,city,2952,93,True,29856,4322004,9887.45981,0.0315
2021-12-21,RS,Tucunduva,city,884,19,True,5644,4322103,15662.6506,0.0215
2021-12-21,RS,Tunas,city,292,14,True,4577,4322152,6379.72471,0.0479
2021-12-21,RS,Tupanci do Sul,city,120,3,True,1459,4322186,8224.81151,0.025
2021-12-21,RS,Tupanciretã,city,2838,52,True,24068,4322202,11791.59049,0.0183
2021-12-21,RS,Tupandi,city,829,14,True,4939,4322251,16784.77425,0.0169
2021-12-21,RS,Tuparendi,city,1187,17,True,7810,4322301,15198.46351,0.0143
2021-12-21,RS,Turuçu,city,339,8,True,3423,4322327,9903.59334,0.0236
2021-12-21,RS,Ubiretama,city,145,3,True,1983,4322343,7312.1533,0.0207
2021-12-21,RS,União da Serra,city,80,1,True,1118,4322350,7155.63506,0.0125
2021-12-21,RS,Unistalda,city,190,4,True,2321,4322376,8186.12667,0.0211
2021-12-21,RS,Uruguaiana,city,14843,458,True,126866,4322400,11699.74619,0.0309
2021-12-21,RS,Vacaria,city,10058,223,True,66575,4322509,15107.77319,0.0222
2021-12-21,RS,Vale do Sol,city,924,20,True,11828,4322533,7811.97159,0.0216
2021-12-21,RS,Vale Real,city,853,13,True,5981,4322541,14261.82913,0.0152
2021-12-21,RS,Vale Verde,city,254,6,True,3515,4322525,7226.17354,0.0236
2021-12-21,RS,Vanini,city,343,3,True,2122,4322558,16163.99623,0.0087
2021-12-21,RS,Venâncio Aires,city,10391,137,True,71973,4322608,14437.35845,0.0132
2021-12-21,RS,Vera Cruz,city,3509,51,True,27099,4322707,12948.8173,0.0145
2021-12-21,RS,Veranópolis,city,4985,67,True,26533,4322806,18787.92447,0.0134
2021-12-21,RS,Vespasiano Corrêa,city,306,8,True,1795,4322855,17047.35376,0.0261
2021-12-21,RS,Viadutos,city,502,11,True,4690,4322905,10703.62473,0.0219
2021-12-21,RS,Viamão,city,14597,776,True,256302,4323002,5695.23453,0.0532
2021-12-21,RS,Vicente Dutra,city,317,7,True,4599,4323101,6892.80278,0.0221
2021-12-21,RS,Victor Graeff,city,443,7,True,2860,4323200,15489.51049,0.0158
2021-12-21,RS,Vila Flores,city,836,13,True,3396,4323309,24617.1967,0.0156
2021-12-21,RS,Vila Lângaro,city,308,2,True,2080,4323358,14807.69231,0.0065
2021-12-21,RS,Vila Maria,city,734,10,True,4363,4323408,16823.28673,0.0136
2021-12-21,RS,Vila Nova do Sul,city,401,9,True,4277,4323457,9375.73065,0.0224
2021-12-21,RS,Vista Alegre,city,381,8,True,2739,4323507,13910.1862,0.021
2021-12-21,RS,Vista Alegre do Prata,city,142,6,True,1557,4323606,9120.10276,0.0423
2021-12-21,RS,Vista Gaúcha,city,279,13,True,2855,4323705,9772.32925,0.0466
2021-12-21,RS,Vitória das Missões,city,383,12,True,3092,4323754,12386.80466,0.0313
2021-12-21,RS,Westfália,city,361,7,True,3031,4323770,11910.26064,0.0194
2021-12-21,RS,Xangri-lá,city,2497,53,True,16775,4323804,14885.2459,0.0212
2021-12-21,RS,,state,1500037,36377,False,11422973,43,13131.75651,0.0243
2021-12-21,SC,Abdon Batista,city,408,4,True,2548,4200051,16012.55887,0.0098
2021-12-21,SC,Abelardo Luz,city,1969,61,True,17960,4200101,10963.25167,0.031
2021-12-21,SC,Agrolândia,city,1738,30,True,11013,4200200,15781.34931,0.0173
2021-12-21,SC,Agronômica,city,687,14,True,5509,4200309,12470.50281,0.0204
2021-12-21,SC,Água Doce,city,1285,18,True,7152,4200408,17967.00224,0.014
2021-12-21,SC,Águas de Chapecó,city,646,11,True,6515,4200507,9915.57943,0.017
2021-12-21,SC,Águas Frias,city,591,4,True,2354,4200556,25106.20221,0.0068
2021-12-21,SC,Águas Mornas,city,765,10,True,6559,4200606,11663.36332,0.0131
