"epidemiological_week","date_d","order_for_place","state","city","city_ibge_code","place_type","last_available_confirmed","last_conf_100k_inhabitants","new_confirmed","last_available_deaths","new_deaths","last_available_death_rate","population_2019","is_last","is_repeated"
38,"2020-09-16",101,"GO","Santo Antônio da Barra",5219712,"city",88,1825.35,0,3,0,0.0341,4821,"True","False"
38,"2020-09-16",129,"GO","Santo Antônio de Goiás",5219738,"city",372,5920.74,32,10,0,0.0269,6283,"True","False"
38,"2020-09-16",155,"GO","Santo Antônio do Descoberto",5219753,"city",1020,1364.66,1,29,1,0.0284,74744,"True","False"
38,"2020-09-16",14,"GO","São Domingos",5219803,"city",4,30.8904,0,0,0,0.0,12949,"True","False"
38,"2020-09-16",94,"GO","São Francisco de Goiás",5219902,"city",74,1181.35,0,2,0,0.027,6264,"True","False"
38,"2020-09-16",115,"GO","São João d'Aliança",5220009,"city",164,1193.6,1,4,0,0.0244,13740,"True","False"
38,"2020-09-16",105,"GO","São João da Paraúna",5220058,"city",8,579.29,0,0,0,0.0,1381,"True","False"
38,"2020-09-16",167,"GO","São Luís de Montes Belos",5220108,"city",753,2226.69,6,11,0,0.0146,33817,"True","False"
38,"2020-09-16",94,"GO","São Luiz do Norte",5220157,"city",113,2186.96,2,2,0,0.0177,5167,"True","False"
38,"2020-09-16",111,"GO","São Miguel do Araguaia",5220207,"city",45,204.611,0,1,0,0.0222,21993,"True","False"
38,"2020-09-16",84,"GO","São Miguel do Passa Quatro",5220264,"city",61,1503.57,0,1,0,0.0164,4057,"True","False"
38,"2020-09-16",63,"GO","São Patrício",5220280,"city",58,2848.72,0,3,0,0.0517,2036,"True","False"
38,"2020-09-16",126,"GO","São Simão",5220405,"city",380,1840.64,-1,7,0,0.0184,20645,"True","False"
38,"2020-09-16",167,"GO","Senador Canedo",5220454,"city",3430,2973.02,46,79,1,0.023,115371,"True","False"
38,"2020-09-16",115,"GO","Serranópolis",5220504,"city",120,1404.49,3,0,0,0.0,8544,"True","False"
38,"2020-09-16",176,"GO","Silvânia",5220603,"city",200,966.417,0,1,0,0.005,20695,"True","False"
38,"2020-09-16",72,"GO","Simolândia",5220686,"city",64,933.489,2,1,0,0.0156,6856,"True","False"
38,"2020-09-16",2,"GO","Sítio d'Abadia",5220702,"city",1,33.456,0,0,0,0.0,2989,"True","False"
38,"2020-09-16",67,"GO","Taquaral de Goiás",5221007,"city",43,1218.48,0,1,0,0.0233,3529,"True","False"
38,"2020-09-16",79,"GO","Teresina de Goiás",5221080,"city",19,549.451,0,0,0,0.0,3458,"True","False"
38,"2020-09-16",117,"GO","Terezópolis de Goiás",5221197,"city",115,1429.81,0,6,0,0.0522,8043,"True","False"
38,"2020-09-16",89,"GO","Três Ranchos",5221304,"city",43,1517.83,1,2,0,0.0465,2833,"True","False"
38,"2020-09-16",169,"GO","Trindade",5221403,"city",2165,1696.72,46,108,1,0.0499,127599,"True","False"
38,"2020-09-16",46,"GO","Trombas",5221452,"city",17,485.714,0,0,0,0.0,3500,"True","False"
38,"2020-09-16",111,"GO","Turvânia",5221502,"city",157,3414.53,1,3,0,0.0191,4598,"True","False"
38,"2020-09-16",93,"GO","Turvelândia",5221551,"city",144,2726.76,3,4,0,0.0278,5281,"True","False"
38,"2020-09-16",73,"GO","Uirapuru",5221577,"city",6,210.231,0,1,0,0.1667,2854,"True","False"
38,"2020-09-16",158,"GO","Uruaçu",5221601,"city",790,1949.08,15,14,0,0.0177,40532,"True","False"
38,"2020-09-16",118,"GO","Uruana",5221700,"city",111,801.849,0,2,0,0.018,13843,"True","False"
38,"2020-09-16",143,"GO","Urutaí",5221809,"city",28,911.458,1,0,0,0.0,3072,"True","False"
38,"2020-09-16",177,"GO","Valparaíso de Goiás",5221858,"city",4542,2696.06,115,102,2,0.0225,168468,"True","False"
38,"2020-09-16",89,"GO","Varjão",5221908,"city",56,1463.29,0,0,0,0.0,3827,"True","False"
38,"2020-09-16",163,"GO","Vianópolis",5222005,"city",152,1096.44,0,2,0,0.0132,13863,"True","False"
38,"2020-09-16",99,"GO","Vicentinópolis",5222054,"city",133,1521.22,3,5,0,0.0376,8743,"True","False"
38,"2020-09-16",92,"GO","Vila Boa",5222203,"city",51,826.446,0,0,0,0.0,6171,"True","False"
38,"2020-09-16",79,"GO","Vila Propício",5222302,"city",167,2868.92,6,2,0,0.012,5821,"True","False"
38,"2020-09-16",170,"PA","Abaetetuba",1500107,"city",3176,2013.98,12,115,0,0.0362,157698,"True","False"
38,"2020-09-16",133,"PA","Abel Figueiredo",1500131,"city",348,4681.19,1,1,0,0.0029,7434,"True","False"
38,"2020-09-16",159,"PA","Acará",1500206,"city",752,1352.74,1,14,0,0.0186,55591,"True","False"
38,"2020-09-16",153,"PA","Afuá",1500305,"city",2142,5461.78,0,11,0,0.0051,39218,"True","False"
38,"2020-09-16",140,"PA","Água Azul do Norte",1500347,"city",646,2355.09,1,0,0,0.0,27430,"True","False"
38,"2020-09-16",147,"PA","Alenquer",1500404,"city",1337,2354.33,1,30,0,0.0224,56789,"True","False"
38,"2020-09-16",145,"PA","Almeirim",1500503,"city",256,750.535,0,18,0,0.0703,34109,"True","False"
38,"2020-09-16",167,"PA","Altamira",1500602,"city",4101,3578.72,23,116,0,0.0283,114594,"True","False"
38,"2020-09-16",147,"PA","Anajás",1500701,"city",560,1912.76,0,12,0,0.0214,29277,"True","False"
38,"2020-09-16",176,"PA","Ananindeua",1500800,"city",7156,1348.67,15,360,1,0.0503,530598,"True","False"
38,"2020-09-16",146,"PA","Anapu",1500859,"city",925,3316.6,1,21,0,0.0227,27890,"True","False"
38,"2020-09-16",150,"PA","Augusto Corrêa",1500909,"city",1280,2782.73,0,20,0,0.0156,45998,"True","False"
38,"2020-09-16",146,"PA","Aurora do Pará",1500958,"city",627,2000.77,0,7,0,0.0112,31338,"True","False"
38,"2020-09-16",114,"PA","Aveiro",1501006,"city",426,2599.46,2,5,0,0.0117,16388,"True","False"
38,"2020-09-16",144,"PA","Bagre",1501105,"city",373,1216.05,0,10,0,0.0268,30673,"True","False"
38,"2020-09-16",141,"PA","Baião",1501204,"city",365,769.296,0,14,0,0.0384,47446,"True","False"
38,"2020-09-16",140,"PA","Bannach",1501253,"city",111,3377.97,0,2,0,0.018,3286,"True","False"
38,"2020-09-16",169,"PA","Barcarena",1501303,"city",4396,3525.83,3,109,0,0.0248,124680,"True","False"
38,"2020-09-16",183,"PA","Belém",1501402,"city",35295,2364.44,182,2157,6,0.0611,1492745,"True","False"
