epidemiological_week,date_d,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_conf_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,population_2019,is_last,is_repeated
38,2020-09-14,97,BA,Cordeiros,2909000,city,30,348.27,0,1,0,0.0333,8614,True,False
38,2020-09-14,81,BA,Coribe,2909109,city,95,669.297,7,3,0,0.0316,14194,True,False
38,2020-09-14,111,BA,"Coronel João Sá",2909208,city,194,1220.51,0,1,0,0.0052,15895,True,False
38,2020-09-14,105,BA,Correntina,2909307,city,281,874.382,2,1,0,0.0036,32137,True,False
38,2020-09-14,77,BA,Cotegipe,2909406,city,58,420.839,1,5,0,0.0862,13782,True,False
38,2020-09-14,147,BA,Cravolândia,2909505,city,10,186.951,0,0,0,0,5349,True,False
38,2020-09-14,112,BA,Crisópolis,2909604,city,186,881.391,0,1,0,0.0054,21103,True,False
38,2020-09-14,123,BA,Cristópolis,2909703,city,102,733.285,0,0,0,0,13910,True,False
38,2020-09-14,144,BA,"Cruz das Almas",2909802,city,626,989.896,1,10,0,0.016,63239,True,False
38,2020-09-14,152,BA,Curaçá,2909901,city,305,878.963,0,2,0,0.0066,34700,True,False
38,2020-09-14,140,BA,"Dário Meira",2910008,city,537,5014.01,0,10,1,0.0186,10710,True,False
38,2020-09-14,169,BA,"Dias d'Ávila",2910057,city,1415,1745,16,29,0,0.0205,81089,True,False
38,2020-09-14,128,BA,"Dom Basílio",2910107,city,42,344.291,0,0,0,0,12199,True,False
38,2020-09-14,98,BA,"Dom Macedo Costa",2910206,city,77,1897.49,0,0,0,0,4058,True,False
38,2020-09-14,81,BA,"Elísio Medrado",2910305,city,60,738.734,0,1,0,0.0167,8122,True,False
38,2020-09-14,126,BA,Encruzilhada,2910404,city,145,852.64,1,3,0,0.0207,17006,True,False
38,2020-09-14,126,BA,"Entre Rios",2910503,city,315,753.949,4,3,0,0.0095,41780,True,False
38,2020-09-14,97,BA,"Érico Cardoso",2900504,city,3,28.2752,0,0,0,0,10610,True,False
38,2020-09-14,115,BA,Esplanada,2910602,city,340,913.07,3,5,0,0.0147,37237,True,False
38,2020-09-14,160,BA,"Euclides da Cunha",2910701,city,165,272.345,-1,6,0,0.0364,60585,True,False
38,2020-09-14,153,BA,Eunápolis,2910727,city,2860,2522.49,15,55,1,0.0192,113380,True,False
38,2020-09-14,111,BA,Fátima,2910750,city,336,1878.14,4,0,0,0,17890,True,False
38,2020-09-14,80,BA,"Feira da Mata",2910776,city,24,423.654,0,0,0,0,5665,True,False
38,2020-09-14,193,BA,"Feira de Santana",2910800,city,12349,2008.39,32,214,5,0.0173,614872,True,False
38,2020-09-14,107,BA,Filadélfia,2910859,city,377,2302.01,0,5,0,0.0133,16377,True,False
38,2020-09-14,104,BA,"Firmino Alves",2910909,city,73,1299.63,1,2,0,0.0274,5617,True,False
38,2020-09-14,154,BA,"Floresta Azul",2911006,city,328,3085.9,5,6,0,0.0183,10629,True,False
38,2020-09-14,103,BA,"Formosa do Rio Preto",2911105,city,195,761.987,0,3,0,0.0154,25591,True,False
38,2020-09-14,164,BA,Gandu,2911204,city,1393,4298.98,7,20,0,0.0144,32403,True,False
38,2020-09-14,44,BA,Gavião,2911253,city,40,896.258,0,0,0,0,4463,True,False
38,2020-09-14,97,BA,"Gentio do Ouro",2911303,city,182,1620.23,0,0,0,0,11233,True,False
38,2020-09-14,114,BA,Glória,2911402,city,173,1136.59,4,4,0,0.0231,15221,True,False
38,2020-09-14,160,BA,Gongogi,2911501,city,116,1627.39,0,3,0,0.0259,7128,True,False
38,2020-09-14,136,BA,"Governador Mangabeira",2911600,city,117,564.617,0,1,0,0.0085,20722,True,False
38,2020-09-14,98,BA,Guajeru,2911659,city,5,72.0773,0,0,0,0,6937,True,False
38,2020-09-14,150,BA,Guanambi,2911709,city,494,584.747,10,1,0,0.002,84481,True,False
38,2020-09-14,138,BA,Guaratinga,2911808,city,384,1842.35,3,5,0,0.013,20843,True,False
38,2020-09-14,80,BA,Heliópolis,2911857,city,50,383.7,0,0,0,0,13031,True,False
38,2020-09-14,123,BA,Iaçu,2911907,city,187,769.389,0,8,0,0.0428,24305,True,False
38,2020-09-14,80,BA,Ibiassucê,2912004,city,21,227.667,0,0,0,0,9224,True,False
38,2020-09-14,146,BA,Ibicaraí,2912103,city,689,3176.73,3,22,0,0.0319,21689,True,False
38,2020-09-14,82,BA,Ibicoara,2912202,city,12,61.3152,0,0,0,0,19571,True,False
38,2020-09-14,103,BA,Ibicuí,2912301,city,485,2994.2,0,5,0,0.0103,16198,True,False
38,2020-09-14,108,BA,Ibipeba,2912400,city,18,98.8414,1,0,0,0,18211,True,False
38,2020-09-14,103,BA,Ibipitanga,2912509,city,15,100.658,0,0,0,0,14902,True,False
38,2020-09-14,80,BA,Ibiquera,2912608,city,4,98.912,0,0,0,0,4044,True,False
38,2020-09-14,136,BA,Ibirapitanga,2912707,city,627,2682.35,0,8,0,0.0128,23375,True,False
38,2020-09-14,115,BA,Ibirapuã,2912806,city,128,1482,2,2,0,0.0156,8637,True,False
38,2020-09-14,163,BA,Ibirataia,2912905,city,947,6184.69,0,19,0,0.0201,15312,True,False
38,2020-09-14,123,BA,Ibitiara,2913002,city,11,67.3236,0,1,0,0.0909,16339,True,False
38,2020-09-14,61,BA,Ibititá,2913101,city,182,1063.52,0,3,0,0.0165,17113,True,False
38,2020-09-14,162,BA,Ibotirama,2913200,city,237,880.157,0,7,1,0.0295,26927,True,False
38,2020-09-14,80,BA,Ichu,2913309,city,23,370.609,0,1,0,0.0435,6206,True,False
38,2020-09-14,77,BA,Igaporã,2913408,city,22,140.665,0,2,0,0.0909,15640,True,False
38,2020-09-14,123,BA,Igrapiúna,2913457,city,245,1852.41,0,7,0,0.0286,13226,True,False
38,2020-09-14,110,BA,Iguaí,2913507,city,466,1731.31,1,13,0,0.0279,26916,True,False
38,2020-09-14,174,BA,Ilhéus,2913606,city,6275,3865.65,-2,208,3,0.0331,162327,True,False
38,2020-09-14,123,BA,Inhambupe,2913705,city,342,856.585,2,5,1,0.0146,39926,True,False
38,2020-09-14,123,BA,Ipecaetá,2913804,city,93,641.955,1,3,0,0.0323,14487,True,False
38,2020-09-14,172,BA,Ipiaú,2913903,city,1871,4078.65,1,31,0,0.0166,45873,True,False
38,2020-09-14,148,BA,Ipirá,2914000,city,372,624.213,0,6,0,0.0161,59595,True,False
38,2020-09-14,54,BA,Ipupiara,2914109,city,3,30.4105,0,0,0,0,9865,True,False
38,2020-09-14,72,BA,Irajuba,2914208,city,44,606.061,0,1,0,0.0227,7260,True,False
38,2020-09-14,102,BA,Iramaia,2914307,city,14,163.992,0,0,0,0,8537,True,False
38,2020-09-14,84,BA,Iraquara,2914406,city,206,816.942,0,0,0,0,25216,True,False
38,2020-09-14,127,BA,Irará,2914505,city,386,1329.48,0,3,0,0.0078,29034,True,False
38,2020-09-14,153,BA,Irecê,2914604,city,1505,2062.58,3,22,2,0.0146,72967,True,False
38,2020-09-14,148,BA,Itabela,2914653,city,717,2344.36,3,9,0,0.0126,30584,True,False
38,2020-09-14,148,BA,Itaberaba,2914703,city,2141,3319.95,19,38,0,0.0177,64489,True,False
38,2020-09-14,180,BA,Itabuna,2914802,city,11646,5461.89,58,232,3,0.0199,213223,True,False
38,2020-09-14,143,BA,Itacaré,2914901,city,365,1289.93,0,9,0,0.0247,28296,True,False
38,2020-09-14,116,BA,Itaeté,2915007,city,69,429.746,0,1,0,0.0145,16056,True,False
38,2020-09-14,160,BA,Itagi,2915106,city,314,2542.3,2,4,0,0.0127,12351,True,False
