"city";"city_ibge_code";"date";"epidemiological_week";"estimated_population";"estimated_population_2019";"is_last";"is_repeated";"last_available_confirmed";"last_available_confirmed_per_100k_inhabitants";"last_available_date";"last_available_death_rate";"last_available_deaths";"order_for_place";"place_type";"state";"new_confirmed";"new_deaths"
"Coração de Maria";2908903.0;"2021-04-12";202115;22495.0;22605.0;"False";"True";1147;5098.910870000001;"2021-04-10";0.0078;9;360;"city";"BA";0;0
"Cordeiros";2909000.0;"2021-04-12";202115;8642.0;8614.0;"False";"True";561;6491.552879999999;"2021-04-10";0.0071;4;309;"city";"BA";0;0
"Coribe";2909109.0;"2021-04-12";202115;14149.0;14194.0;"False";"True";727;5138.17231;"2021-04-10";0.0151;11;309;"city";"BA";0;0
"Coronel João Sá";2909208.0;"2021-04-12";202115;15717.0;15895.0;"False";"True";643;4091.11154;"2021-04-10";0.0218;14;321;"city";"BA";0;0
"Correntina";2909307.0;"2021-04-12";202115;32191.0;32137.0;"False";"True";1675;5203.3177;"2021-04-10";0.009000000000000001;15;315;"city";"BA";0;0
"Cotegipe";2909406.0;"2021-04-12";202115;13769.0;13782.0;"False";"True";285;2069.8670899999997;"2021-04-10";0.0351;10;309;"city";"BA";0;0
"Cravolândia";2909505.0;"2021-04-12";202115;5351.0;5349.0;"False";"True";177;3307.79294;"2021-04-10";0.0;0;357;"city";"BA";0;0
"Cristópolis";2909703.0;"2021-04-12";202115;13947.0;13910.0;"False";"True";519;3721.23037;"2021-04-10";0.0058;3;333;"city";"BA";0;0
"Crisópolis";2909604.0;"2021-04-12";202115;21163.0;21103.0;"False";"True";280;1323.06384;"2021-04-10";0.0286;8;322;"city";"BA";0;0
"Cruz das Almas";2909802.0;"2021-04-12";202115;63591.0;63239.0;"False";"True";3651;5741.3785;"2021-04-10";0.0123;45;354;"city";"BA";0;0
"Curaçá";2909901.0;"2021-04-12";202115;34886.0;34700.0;"False";"True";860;2465.1722800000002;"2021-04-10";0.0198;17;362;"city";"BA";0;0
"Cândido Sales";2906709.0;"2021-04-12";202115;25053.0;25189.0;"False";"True";1557;6214.824570000001;"2021-04-10";0.027000000000000003;42;325;"city";"BA";0;0
"Cícero Dantas";2907806.0;"2021-04-12";202115;32576.0;32515.0;"False";"True";1241;3809.55305;"2021-04-10";0.0169;21;320;"city";"BA";0;0
"Dias d'Ávila";2910057.0;"2021-04-12";202115;82432.0;81089.0;"False";"True";4682;5679.833070000001;"2021-04-10";0.0258;121;379;"city";"BA";0;0
"Dom Basílio";2910107.0;"2021-04-12";202115;12240.0;12199.0;"False";"True";659;5383.98693;"2021-04-10";0.0182;12;338;"city";"BA";0;0
"Dom Macedo Costa";2910206.0;"2021-04-12";202115;4065.0;4058.0;"False";"True";332;8167.28167;"2021-04-10";0.0181;6;309;"city";"BA";0;0
"Dário Meira";2910008.0;"2021-04-12";202115;10525.0;10710.0;"False";"True";758;7201.900240000001;"2021-04-10";0.0145;11;350;"city";"BA";0;0
"Elísio Medrado";2910305.0;"2021-04-12";202115;8126.0;8122.0;"False";"True";411;5057.83904;"2021-04-10";0.0146;6;309;"city";"BA";0;0
"Encruzilhada";2910404.0;"2021-04-12";202115;16446.0;17006.0;"False";"True";552;3356.43926;"2021-04-10";0.0217;12;336;"city";"BA";0;0
"Entre Rios";2910503.0;"2021-04-12";202115;41901.0;41780.0;"False";"True";1078;2572.7309600000003;"2021-04-10";0.0158;17;336;"city";"BA";0;0
"Esplanada";2910602.0;"2021-04-12";202115;37578.0;37237.0;"False";"True";1316;3502.0490700000005;"2021-04-10";0.0167;22;325;"city";"BA";0;0
