latitude,longitude
-3.88818,-38.638212
-20.059816,-44.062789
-7.243257,-34.9738347
-23.051562,-46.7191873
-22.8132778,-43.4161389
-24.008814,-46.826039
-5.494122,-37.585037
-13.02679,-38.700244
-14.698377,-57.734419
-5.897826,-35.2911777
-23.08302,-43.795449
-23.716134,-46.521832
-0.088875,-51.492501
-19.600884,-44.460436
