,name,pos,negative,sentiment_avg,%pos,%neg
0,tesla,140,353,0.059459951953613185,30,70
1,facebook,139,230,0.06690110704655929,40,60
2,apple,177,223,0.10647666095478597,40,60
3,xiaomi,156,159,0.1621054421768709,50,50
