epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202114,2021-04-05,321,BA,Lapão,2919157,city,1304,4781.11021,0,12,0,0.0092,27274,False,True
202114,2021-04-05,383,BA,Lauro de Freitas,2919207,city,15884,7877.60061,0,305,0,0.0192,201635,False,True
202114,2021-04-05,302,BA,Lençóis,2919306,city,712,6191.84277,0,9,0,0.0126,11499,False,True
202114,2021-04-05,348,BA,Licínio de Almeida,2919405,city,211,1705.32611,0,6,0,0.0284,12373,False,True
202114,2021-04-05,346,BA,Livramento de Nossa Senhora,2919504,city,1883,4087.96839,0,24,0,0.0127,46062,False,True
202114,2021-04-05,360,BA,Luís Eduardo Magalhães,2919553,city,5972,6623.63302,0,58,0,0.0097,90162,False,True
202114,2021-04-05,302,BA,Macajuba,2919603,city,327,2885.6336,0,3,0,0.0092,11332,False,True
202114,2021-04-05,315,BA,Macarani,2919702,city,826,4368.29023,0,20,0,0.0242,18909,False,True
202114,2021-04-05,310,BA,Macaúbas,2919801,city,1585,3159.82536,0,14,0,0.0088,50161,False,True
202114,2021-04-05,302,BA,Macururé,2919900,city,172,2208.80955,0,4,0,0.0233,7787,False,True
202114,2021-04-05,336,BA,Madre de Deus,2919926,city,2078,9695.78201,0,30,0,0.0144,21432,False,True
202114,2021-04-05,308,BA,Maetinga,2919959,city,170,6150.50651,0,5,0,0.0294,2764,False,True
202114,2021-04-05,313,BA,Maiquinique,2920007,city,687,6731.33451,0,9,0,0.0131,10206,False,True
202114,2021-04-05,320,BA,Mairi,2920106,city,894,4805.93485,0,10,0,0.0112,18602,False,True
202114,2021-04-05,304,BA,Malhada,2920205,city,284,1684.36036,0,17,0,0.0599,16861,False,True
202114,2021-04-05,309,BA,Malhada de Pedras,2920304,city,222,2655.82007,0,6,0,0.027,8359,False,True
202114,2021-04-05,331,BA,Manoel Vitorino,2920403,city,707,5402.30763,0,18,0,0.0255,13087,False,True
202114,2021-04-05,311,BA,Mansidão,2920452,city,133,968.39959,0,1,0,0.0075,13734,False,True
202114,2021-04-05,342,BA,Maracás,2920502,city,2264,11101.84867,0,37,0,0.0163,20393,False,True
202114,2021-04-05,347,BA,Maragogipe,2920601,city,1634,3647.89141,0,32,0,0.0196,44793,False,True
202114,2021-04-05,342,BA,Maraú,2920700,city,1266,6140.56361,0,12,0,0.0095,20617,False,True
202114,2021-04-05,316,BA,Marcionílio Souza,2920809,city,345,3323.69942,0,7,0,0.0203,10380,False,True
202114,2021-04-05,318,BA,Mascote,2920908,city,668,4869.8695,0,13,0,0.0195,13717,False,True
202114,2021-04-05,343,BA,Mata de São João,2921005,city,3242,6879.42961,0,37,0,0.0114,47126,False,True
202114,2021-04-05,307,BA,Matina,2921054,city,155,1261.9067,0,2,0,0.0129,12283,False,True
202114,2021-04-05,371,BA,Medeiros Neto,2921104,city,1659,7303.2224,0,39,0,0.0235,22716,False,True
202114,2021-04-05,326,BA,Miguel Calmon,2921203,city,1514,5846.91434,0,15,0,0.0099,25894,False,True
