city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Campo Bom,4303905.0,2020-08-18,34,66712.0,True,False,1477,2213.9944800000003,2020-08-18,0.0217,32,162,city,RS,31,1
Cajazeiras,2503704.0,2020-08-18,34,61993.0,False,True,1476,2380.91397,2020-08-17,0.0251,37,120,city,PB,0,0
Pedreiras,2108207.0,2020-08-18,34,39229.0,False,True,1472,3752.32609,2020-08-17,0.0231,34,119,city,MA,0,0
Biguaçu,4202305.0,2020-08-18,34,68481.0,False,True,1470,2146.5808,2020-08-17,0.0163,24,139,city,SC,0,0
Tucumã,1508084.0,2020-08-18,34,39602.0,False,True,1465,3699.30812,2020-08-17,0.0157,23,127,city,PA,0,0
Itabirito,3131901.0,2020-08-18,34,51875.0,False,True,1463,2820.24096,2020-08-17,0.0014,2,102,city,MG,0,0
São Félix do Xingu,1507300.0,2020-08-18,34,128481.0,False,True,1463,1138.68977,2020-08-17,0.0089,13,113,city,PA,0,0
Medicilândia,1504455.0,2020-08-18,34,31597.0,False,True,1460,4620.6918399999995,2020-08-17,0.0082,12,106,city,PA,0,0
Birigui,3506508.0,2020-08-18,34,123638.0,False,True,1447,1170.35216,2020-08-17,0.0352,51,135,city,SP,0,0
Bom Jesus das Selvas,2102036.0,2020-08-18,34,34028.0,False,True,1447,4252.38039,2020-08-17,0.0069,10,105,city,MA,0,0
Piripiri,2208403.0,2020-08-18,34,63742.0,False,True,1444,2265.3823199999997,2020-08-17,0.0159,23,116,city,PI,0,0
Jaguaquara,2917607.0,2020-08-18,34,54423.0,False,True,1441,2647.7775899999997,2020-08-17,0.0062,9,131,city,BA,0,0
Aracati,2301109.0,2020-08-18,34,74547.0,False,True,1431,1919.59435,2020-08-17,0.0335,48,136,city,CE,0,0
Vitorino Freire,2113009.0,2020-08-18,34,31523.0,False,True,1426,4523.68112,2020-08-17,0.0175,25,121,city,MA,0,0
Portel,1505809.0,2020-08-18,34,62043.0,False,True,1425,2296.7941600000004,2020-08-17,0.0323,46,106,city,PA,0,0
Caraguatatuba,3510500.0,2020-08-18,34,121532.0,False,True,1422,1170.06221,2020-08-17,0.0415,59,135,city,SP,0,0
Óbidos,1505106.0,2020-08-18,34,52137.0,False,True,1413,2710.1674399999997,2020-08-17,0.0198,28,127,city,PA,0,0
Arujá,3503901.0,2020-08-18,34,89824.0,False,True,1405,1564.16993,2020-08-17,0.047,66,146,city,SP,0,0
Itaberaba,2914703.0,2020-08-18,34,64489.0,False,True,1404,2177.11548,2020-08-17,0.0192,27,121,city,BA,0,0
Rorainópolis,1400472.0,2020-08-18,34,30163.0,False,True,1401,4644.76345,2020-08-17,0.0143,20,125,city,RR,0,0
Tarauacá,1200609.0,2020-08-18,34,42567.0,True,False,1401,3291.28198,2020-08-18,0.0093,13,109,city,AC,85,0
Inhumas,5210000.0,2020-08-18,34,52866.0,False,True,1398,2644.42175,2020-08-17,0.015,21,122,city,GO,0,0
