city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Porto Ferreira,3540705.0,2020-08-18,34,56150.0,False,True,733,1305.43188,2020-08-17,0.0273,20,131,city,SP,0,0
Venda Nova do Imigrante,3205069.0,2020-08-18,34,25277.0,False,True,732,2895.91328,2020-08-16,0.0123,9,133,city,ES,0,0
Paracuru,2310209.0,2020-08-18,34,35076.0,False,True,732,2086.89702,2020-08-17,0.0533,39,127,city,CE,0,0
Santo Antônio do Descoberto,5219753.0,2020-08-18,34,74744.0,False,True,730,976.66702,2020-08-17,0.0233,17,126,city,GO,0,0
Ceará-Mirim,2402600.0,2020-08-18,34,73497.0,False,True,729,991.87722,2020-08-10,0.0521,38,140,city,RN,0,0
São Benedito,2312304.0,2020-08-18,34,47903.0,False,True,729,1521.82536,2020-08-17,0.0274,20,117,city,CE,0,0
Conceição das Alagoas,3117306.0,2020-08-18,34,27893.0,False,True,729,2613.5589600000003,2020-08-17,0.0206,15,130,city,MG,0,0
Guaramirim,4206504.0,2020-08-18,34,44819.0,False,True,728,1624.3111199999998,2020-08-17,0.0192,14,132,city,SC,0,0
Abreu e Lima,2600054.0,2020-08-18,34,99990.0,False,True,728,728.07281,2020-08-17,0.125,91,132,city,PE,0,0
Missão Velha,2308401.0,2020-08-18,34,35393.0,False,True,727,2054.07849,2020-08-17,0.0138,10,114,city,CE,0,0
Nova Esperança do Piriá,1504950.0,2020-08-18,34,21368.0,False,True,726,3397.60389,2020-08-17,0.0083,6,115,city,PA,0,0
Anori,1300102.0,2020-08-18,34,21010.0,False,True,724,3445.97811,2020-08-17,0.0152,11,143,city,AM,0,0
Umuarama,4128104.0,2020-08-18,34,111557.0,False,True,724,648.99558,2020-08-17,0.0166,12,151,city,PR,0,0
Aracoiaba,2301208.0,2020-08-18,34,26469.0,False,True,724,2735.27523,2020-08-17,0.018000000000000002,13,126,city,CE,0,0
São Francisco do Conde,2929206.0,2020-08-18,34,39802.0,False,True,724,1819.00407,2020-08-17,0.0193,14,135,city,BA,0,0
Nossa Senhora das Dores,2804607.0,2020-08-18,34,26629.0,False,True,723,2715.0850600000003,2020-08-17,0.0263,19,101,city,SE,0,0
Jaguaruana,2307007.0,2020-08-18,34,33705.0,False,True,723,2145.08233,2020-08-17,0.0249,18,123,city,CE,0,0
Conde,2504603.0,2020-08-18,34,24670.0,False,True,722,2926.63154,2020-08-17,0.0152,11,120,city,PB,0,0
Capim Grosso,2906873.0,2020-08-18,34,30662.0,False,True,720,2348.18342,2020-08-17,0.0056,4,130,city,BA,0,0
Rio Brilhante,5007208.0,2020-08-18,34,37514.0,False,True,720,1919.2834699999999,2020-08-14,0.0056,4,89,city,MS,0,0
Osório,4313508.0,2020-08-18,34,45994.0,True,False,718,1561.07318,2020-08-18,0.0209,15,149,city,RS,27,1
Mauriti,2308104.0,2020-08-18,34,47962.0,False,True,716,1492.84851,2020-08-17,0.0307,22,148,city,CE,0,0
São Sebastião,2708808.0,2020-08-18,34,34152.0,False,True,716,2096.50972,2020-08-17,0.0168,12,116,city,AL,0,0
Arame,2100956.0,2020-08-18,34,32701.0,False,True,715,2186.47748,2020-08-17,0.0098,7,104,city,MA,0,0
Beruri,1300631.0,2020-08-18,34,19679.0,False,True,713,3623.1515799999997,2020-08-17,0.0112,8,120,city,AM,0,0
Porto Calvo,2707305.0,2020-08-18,34,27165.0,False,True,713,2624.7009,2020-08-17,0.0168,12,116,city,AL,0,0
União,2211100.0,2020-08-18,34,44485.0,False,True,713,1602.78746,2020-08-17,0.0309,22,123,city,PI,0,0
Delmiro Gouveia,2702405.0,2020-08-18,34,52016.0,False,True,712,1368.8096,2020-08-17,0.0169,12,117,city,AL,0,0
Acará,1500206.0,2020-08-18,34,55591.0,False,True,711,1278.98401,2020-08-17,0.0169,12,130,city,PA,0,0
Beberibe,2302206.0,2020-08-18,34,53573.0,False,True,710,1325.29446,2020-08-17,0.0394,28,142,city,CE,0,0
Venâncio Aires,4322608.0,2020-08-18,34,71554.0,True,False,710,992.2576,2020-08-18,0.0155,11,128,city,RS,47,0
Itapira,3522604.0,2020-08-18,34,74773.0,False,True,709,948.2032300000001,2020-08-17,0.024,17,137,city,SP,0,0
Uruburetama,2313807.0,2020-08-18,34,21850.0,False,True,708,3240.2746,2020-08-17,0.0254,18,119,city,CE,0,0
Fernando Falcão,2104081.0,2020-08-18,34,10360.0,False,True,708,6833.97683,2020-08-17,0.0,0,104,city,MA,0,0
Pindobaçu,2924603.0,2020-08-18,34,20150.0,False,True,705,3498.7593100000004,2020-08-17,0.0113,8,81,city,BA,0,0
Anapurus,2100808.0,2020-08-18,34,15732.0,False,True,704,4474.9555,2020-08-17,0.0085,6,108,city,MA,0,0
Vargem Grande,2112704.0,2020-08-18,34,56510.0,False,True,703,1244.0276099999999,2020-08-17,0.0142,10,124,city,MA,0,0
Francisco Beltrão,4108403.0,2020-08-18,34,91093.0,False,True,700,768.44543,2020-08-17,0.01,7,141,city,PR,0,0
Carira,2801405.0,2020-08-18,34,22082.0,False,True,696,3151.8884199999998,2020-08-17,0.0172,12,111,city,SE,0,0
Itaberaí,5210406.0,2020-08-18,34,42900.0,False,True,696,1622.37762,2020-08-17,0.0302,21,90,city,GO,0,0
Borba,1300805.0,2020-08-18,34,41161.0,False,True,696,1690.92102,2020-08-17,0.0316,22,114,city,AM,0,0
Pacajá,1505486.0,2020-08-18,34,47706.0,False,True,694,1454.7436400000001,2020-08-17,0.0115,8,120,city,PA,0,0
Imbituba,4207304.0,2020-08-18,34,44853.0,False,True,693,1545.04715,2020-08-17,0.0043,3,152,city,SC,0,0
Itajubá,3132404.0,2020-08-18,34,96869.0,False,True,693,715.39915,2020-08-17,0.0144,10,131,city,MG,0,0
Bataguassu,5001904.0,2020-08-18,34,23024.0,False,True,692,3005.55942,2020-08-14,0.0058,4,121,city,MS,0,0
Várzea Alegre,2314003.0,2020-08-18,34,40721.0,False,True,692,1699.36888,2020-08-17,0.0303,21,132,city,CE,0,0
Igarapé-Açu,1503200.0,2020-08-18,34,38807.0,False,True,691,1780.6065899999999,2020-08-17,0.0347,24,122,city,PA,0,0
Casimiro de Abreu,3301306.0,2020-08-18,34,44184.0,False,True,691,1563.91454,2020-08-17,0.0275,19,134,city,RJ,0,0
Jijoca de Jericoacoara,2307254.0,2020-08-18,34,19816.0,False,True,687,3466.89544,2020-08-17,0.0131,9,104,city,CE,0,0
Iturama,3134400.0,2020-08-18,34,39263.0,False,True,687,1749.73894,2020-08-17,0.0218,15,73,city,MG,0,0
Importados/Indefinidos,,2020-08-18,34,,False,True,687,,2020-08-17,0.0,0,111,city,RR,0,0
Xapuri,1200708.0,2020-08-18,34,19323.0,True,False,685,3544.99819,2020-08-18,0.0161,11,112,city,AC,27,1
São Gabriel do Oeste,5007695.0,2020-08-18,34,26771.0,False,True,685,2558.73893,2020-08-14,0.0073,5,102,city,MS,0,0
Igarassu,2606804.0,2020-08-18,34,117019.0,False,True,684,584.52046,2020-08-17,0.1345,92,134,city,PE,0,0
Ijuí,4310207.0,2020-08-18,34,83475.0,True,False,684,819.40701,2020-08-18,0.0146,10,111,city,RS,25,1
Poção de Pedras,2108900.0,2020-08-18,34,17873.0,False,True,681,3810.2165299999997,2020-08-17,0.0029,2,96,city,MA,0,0
São Luís do Quitunde,2708501.0,2020-08-18,34,34555.0,False,True,679,1964.9833600000002,2020-08-17,0.0206,14,103,city,AL,0,0
Araxá,3104007.0,2020-08-18,34,106229.0,False,True,679,639.18516,2020-08-17,0.0206,14,127,city,MG,0,0
Itambé,2607653.0,2020-08-18,34,36447.0,False,True,678,1860.2354100000002,2020-08-17,0.0457,31,120,city,PE,0,0
Pentecoste,2310704.0,2020-08-18,34,37751.0,False,True,678,1795.97891,2020-08-17,0.0428,29,121,city,CE,0,0
Groaíras,2304905.0,2020-08-18,34,11068.0,False,True,678,6125.76798,2020-08-17,0.0162,11,123,city,CE,0,0
Caldas Novas,5204508.0,2020-08-18,34,91162.0,False,True,677,742.63399,2020-08-17,0.0207,14,140,city,GO,0,0
São João da Barra,3305000.0,2020-08-18,34,36102.0,False,True,674,1866.9325800000001,2020-08-17,0.0134,9,136,city,RJ,0,0
Trairi,2313500.0,2020-08-18,34,55918.0,False,True,673,1203.54805,2020-08-17,0.0639,43,128,city,CE,0,0
Leopoldina,3138401.0,2020-08-18,34,52587.0,False,True,671,1275.98076,2020-08-17,0.0313,21,125,city,MG,0,0
Itapecuru Mirim,2105401.0,2020-08-18,34,68203.0,False,True,671,983.8276900000001,2020-08-17,0.0149,10,125,city,MA,0,0
Tanguá,3305752.0,2020-08-18,34,34309.0,False,True,670,1952.8403600000001,2020-08-17,0.0582,39,136,city,RJ,0,0
Anapu,1500859.0,2020-08-18,34,27890.0,False,True,668,2395.1237,2020-08-17,0.024,16,117,city,PA,0,0
Novo Aripuanã,1303304.0,2020-08-18,34,25644.0,False,True,667,2600.9982800000002,2020-08-17,0.0165,11,117,city,AM,0,0
São Domingos do Araguaia,1507151.0,2020-08-18,34,25557.0,False,True,666,2605.93966,2020-08-17,0.015,10,106,city,PA,0,0
Capela,2801306.0,2020-08-18,34,34213.0,False,True,666,1946.6284699999999,2020-08-17,0.024,16,139,city,SE,0,0
Mimoso do Sul,3203403.0,2020-08-18,34,26153.0,False,True,665,2542.72932,2020-08-16,0.006,4,113,city,ES,0,0
Jaciara,5104807.0,2020-08-18,34,27776.0,False,True,663,2386.95276,2020-08-10,0.0211,14,119,city,MT,0,0
Lagoa Seca,2508307.0,2020-08-18,34,27503.0,False,True,663,2410.64611,2020-08-17,0.0196,13,114,city,PB,0,0
Peruíbe,3537602.0,2020-08-18,34,68284.0,False,True,662,969.48041,2020-08-17,0.0378,25,134,city,SP,0,0
Brumado,2904605.0,2020-08-18,34,67195.0,False,True,662,985.19235,2020-08-17,0.0106,7,149,city,BA,0,0
Buriti dos Lopes,2202000.0,2020-08-18,34,19781.0,False,True,662,3346.64577,2020-08-17,0.0181,12,115,city,PI,0,0
Forquilha,2304350.0,2020-08-18,34,24218.0,False,True,660,2725.2456899999997,2020-08-17,0.0379,25,130,city,CE,0,0
Anchieta,3200409.0,2020-08-18,34,29263.0,False,True,660,2255.40785,2020-08-16,0.0288,19,125,city,ES,0,0
Wenceslau Guimarães,2933505.0,2020-08-18,34,21101.0,False,True,659,3123.07474,2020-08-17,0.0061,4,91,city,BA,0,0
São Gabriel,4318309.0,2020-08-18,34,62105.0,True,False,658,1059.49601,2020-08-18,0.0304,20,139,city,RS,3,2
Machadinho D'Oeste,1100130.0,2020-08-18,34,39991.0,False,True,657,1642.86965,2020-08-17,0.0061,4,107,city,RO,0,0
José Bonifácio,3525706.0,2020-08-18,34,37015.0,False,True,656,1772.2544899999998,2020-08-17,0.0229,15,137,city,SP,0,0
Presidente Tancredo Neves,2925758.0,2020-08-18,34,27719.0,False,True,656,2366.60774,2020-08-17,0.0183,12,101,city,BA,0,0
Salinas da Margarida,2927309.0,2020-08-18,34,15667.0,False,True,655,4180.762110000001,2020-08-17,0.0031,2,84,city,BA,0,0
Nova Mamoré,1100338.0,2020-08-18,34,30583.0,False,True,655,2141.71272,2020-08-17,0.0092,6,99,city,RO,0,0
Itaitinga,2306256.0,2020-08-18,34,37980.0,False,True,652,1716.693,2020-08-17,0.0521,34,143,city,CE,0,0
Marechal Floriano,3203346.0,2020-08-18,34,16694.0,False,True,651,3899.60465,2020-08-16,0.0261,17,117,city,ES,0,0
Cocal,2202703.0,2020-08-18,34,27787.0,False,True,650,2339.22338,2020-08-17,0.0215,14,107,city,PI,0,0
Nova Odessa,3533403.0,2020-08-18,34,60174.0,False,True,646,1073.5533599999999,2020-08-17,0.0526,34,141,city,SP,0,0
Garrafão do Norte,1503077.0,2020-08-18,34,26066.0,False,True,646,2478.32425,2020-08-17,0.0093,6,119,city,PA,0,0
Uarini,1304260.0,2020-08-18,34,13540.0,False,True,646,4771.04874,2020-08-17,0.0139,9,96,city,AM,0,0
Campina Grande do Sul,4104006.0,2020-08-18,34,43288.0,False,True,645,1490.02033,2020-08-17,0.0279,18,138,city,PR,0,0
Seropédica,3305554.0,2020-08-18,34,82312.0,False,True,645,783.60385,2020-08-17,0.0729,47,143,city,RJ,0,0
Jaguariúna,3524709.0,2020-08-18,34,57488.0,False,True,643,1118.49429,2020-08-17,0.0249,16,154,city,SP,0,0
Nanuque,3144300.0,2020-08-18,34,40750.0,False,True,641,1573.00613,2020-08-17,0.0234,15,137,city,MG,0,0
Porto Franco,2109007.0,2020-08-18,34,23885.0,False,True,640,2679.5059699999997,2020-08-17,0.0125,8,112,city,MA,0,0
Cupira,2605004.0,2020-08-18,34,24107.0,False,True,640,2654.83055,2020-08-17,0.0391,25,125,city,PE,0,0
Xambioá,1722107.0,2020-08-18,34,11540.0,False,True,639,5537.2617,2020-08-17,0.0125,8,102,city,TO,0,0
Serrana,3551504.0,2020-08-18,34,45107.0,False,True,639,1416.63156,2020-08-17,0.0469,30,123,city,SP,0,0
Guaratinguetá,3518404.0,2020-08-18,34,121798.0,False,True,638,523.81813,2020-08-17,0.0439,28,132,city,SP,0,0
Capistrano,2302909.0,2020-08-18,34,17738.0,False,True,638,3596.7978399999997,2020-08-17,0.0188,12,127,city,CE,0,0
Quixelô,2311355.0,2020-08-18,34,16178.0,False,True,637,3937.4459100000004,2020-08-17,0.0157,10,117,city,CE,0,0
Sooretama,3205010.0,2020-08-18,34,30070.0,False,True,637,2118.3904199999997,2020-08-16,0.0173,11,139,city,ES,0,0
Paudalho,2610608.0,2020-08-18,34,56506.0,False,True,634,1122.00474,2020-08-17,0.0615,39,135,city,PE,0,0
Pojuca,2925204.0,2020-08-18,34,39519.0,False,True,634,1604.29161,2020-08-17,0.011000000000000001,7,143,city,BA,0,0
Louveira,3527306.0,2020-08-18,34,48885.0,False,True,632,1292.8301099999999,2020-08-17,0.0301,19,146,city,SP,0,0
Janaúba,3135100.0,2020-08-18,34,71648.0,False,True,632,882.0902199999999,2020-08-17,0.019,12,136,city,MG,0,0
Capivari de Baixo,4203956.0,2020-08-18,34,24871.0,False,True,631,2537.09139,2020-08-17,0.0143,9,128,city,SC,0,0
Salto de Pirapora,3545308.0,2020-08-18,34,45422.0,False,True,628,1382.58993,2020-08-17,0.0223,14,141,city,SP,0,0
Ibirataia,2912905.0,2020-08-18,34,15312.0,False,True,626,4088.29676,2020-08-17,0.0176,11,136,city,BA,0,0
Anamã,1300086.0,2020-08-18,34,13614.0,False,True,625,4590.86235,2020-08-17,0.0,0,127,city,AM,0,0
Vitória do Mearim,2112902.0,2020-08-18,34,32764.0,False,True,624,1904.5293600000002,2020-08-17,0.0096,6,130,city,MA,0,0
Campos Novos,4203600.0,2020-08-18,34,36244.0,False,True,624,1721.66428,2020-08-17,0.0192,12,93,city,SC,0,0
Brejo,2102101.0,2020-08-18,34,36397.0,False,True,623,1711.67953,2020-08-17,0.0289,18,115,city,MA,0,0
Charqueadas,4305355.0,2020-08-18,34,40789.0,True,False,623,1527.37258,2020-08-18,0.0161,10,151,city,RS,19,0
Brumadinho,3109006.0,2020-08-18,34,40103.0,False,True,623,1553.49974,2020-08-17,0.008,5,108,city,MG,0,0
São José da Laje,2708303.0,2020-08-18,34,23927.0,False,True,622,2599.5737,2020-08-17,0.0161,10,105,city,AL,0,0
Moita Bonita,2804102.0,2020-08-18,34,11335.0,False,True,622,5487.42832,2020-08-17,0.008,5,105,city,SE,0,0
Cariré,2303105.0,2020-08-18,34,18448.0,False,True,621,3366.2185600000003,2020-08-17,0.0225,14,117,city,CE,0,0
Águas Belas,2600500.0,2020-08-18,34,43443.0,False,True,621,1429.45929,2020-08-17,0.0338,21,109,city,PE,0,0
Presidente Kennedy,3204302.0,2020-08-18,34,11574.0,False,True,619,5348.19423,2020-08-16,0.0275,17,125,city,ES,0,0
Penha,4212502.0,2020-08-18,34,32531.0,False,True,618,1899.7264100000002,2020-08-17,0.0243,15,124,city,SC,0,0
Afonso Cláudio,3200102.0,2020-08-18,34,30586.0,False,True,618,2020.53227,2020-08-16,0.0243,15,140,city,ES,0,0
Meruoca,2308203.0,2020-08-18,34,15057.0,False,True,617,4097.76184,2020-08-17,0.0243,15,112,city,CE,0,0
Poções,2925105.0,2020-08-18,34,46871.0,False,True,616,1314.24548,2020-08-17,0.0081,5,82,city,BA,0,0
Esperantinópolis,2104008.0,2020-08-18,34,17241.0,False,True,616,3572.8786,2020-08-17,0.0211,13,111,city,MA,0,0
Baixa Grande do Ribeiro,2201150.0,2020-08-18,34,11586.0,False,True,615,5308.1305,2020-08-17,0.013000000000000001,8,104,city,PI,0,0
Alhandra,2500601.0,2020-08-18,34,19588.0,False,True,611,3119.2566899999997,2020-08-17,0.0262,16,112,city,PB,0,0
Pato Branco,4118501.0,2020-08-18,34,82881.0,False,True,611,737.2015299999999,2020-08-17,0.0196,12,151,city,PR,0,0
Pitimbu,2511905.0,2020-08-18,34,19065.0,False,True,611,3204.8256,2020-08-17,0.0115,7,110,city,PB,0,0
Içara,4207007.0,2020-08-18,34,56421.0,False,True,610,1081.15772,2020-08-17,0.0098,6,149,city,SC,0,0
Ibiporã,4109807.0,2020-08-18,34,54558.0,False,True,610,1118.07618,2020-08-17,0.0033,2,121,city,PR,0,0
Bonfim,1400159.0,2020-08-18,34,12409.0,False,True,609,4907.72826,2020-08-17,0.0181,11,148,city,RR,0,0
Areia Branca,2800506.0,2020-08-18,34,18542.0,False,True,609,3284.43534,2020-08-17,0.0263,16,114,city,SE,0,0
Vassouras,3306206.0,2020-08-18,34,36896.0,False,True,608,1647.87511,2020-08-17,0.0345,21,118,city,RJ,0,0
Tocantinópolis,1721208.0,2020-08-18,34,22870.0,False,True,607,2654.13205,2020-08-17,0.0231,14,126,city,TO,0,0
Santana do Araguaia,1506708.0,2020-08-18,34,72817.0,False,True,606,832.22324,2020-08-17,0.0066,4,103,city,PA,0,0
Mangaratiba,3302601.0,2020-08-18,34,44468.0,False,True,606,1362.77773,2020-08-17,0.0479,29,144,city,RJ,0,0
Amparo,3501905.0,2020-08-18,34,72195.0,False,True,605,838.0081700000001,2020-08-17,0.0298,18,130,city,SP,0,0
Aurora do Pará,1500958.0,2020-08-18,34,31338.0,False,True,603,1924.1815,2020-08-17,0.0116,7,117,city,PA,0,0
Alta Floresta,5100250.0,2020-08-18,34,51782.0,False,True,603,1164.49732,2020-08-10,0.0249,15,137,city,MT,0,0
Trizidela do Vale,2112233.0,2020-08-18,34,21998.0,False,True,603,2741.15829,2020-08-17,0.0116,7,125,city,MA,0,0
Ouro Preto do Oeste,1100155.0,2020-08-18,34,36035.0,False,True,602,1670.59803,2020-08-17,0.0249,15,133,city,RO,0,0
Itapiranga,1302009.0,2020-08-18,34,9148.0,False,True,601,6569.742020000001,2020-08-17,0.01,6,115,city,AM,0,0
Conceição do Mato Dentro,3117504.0,2020-08-18,34,17842.0,False,True,598,3351.64219,2020-08-17,0.0017,1,85,city,MG,0,0
Santa Gertrudes,3546702.0,2020-08-18,34,26898.0,False,True,597,2219.4958699999997,2020-08-17,0.0184,11,125,city,SP,0,0
Uiramutã,1400704.0,2020-08-18,34,10559.0,False,True,596,5644.47391,2020-08-17,0.0034,2,106,city,RR,0,0
Baixo Guandu,3200805.0,2020-08-18,34,30998.0,False,True,596,1922.7046899999998,2020-08-16,0.0252,15,113,city,ES,0,0
Guarantã do Norte,5104104.0,2020-08-18,34,35816.0,False,True,596,1664.06075,2020-08-10,0.0084,5,94,city,MT,0,0
Paraty,3303807.0,2020-08-18,34,43165.0,False,True,595,1378.4316,2020-08-17,0.0437,26,132,city,RJ,0,0
Teutônia,4321451.0,2020-08-18,34,33232.0,True,False,595,1790.44295,2020-08-18,0.0168,10,128,city,RS,4,0
Pombos,2611309.0,2020-08-18,34,27091.0,False,True,593,2188.91883,2020-08-17,0.0422,25,132,city,PE,0,0
Craíbas,2702355.0,2020-08-18,34,24219.0,False,True,593,2448.49085,2020-08-17,0.0152,9,102,city,AL,0,0
Brasil Novo,1501725.0,2020-08-18,34,15086.0,False,True,591,3917.53944,2020-08-17,0.0152,9,101,city,PA,0,0
Água Doce do Maranhão,2100154.0,2020-08-18,34,12571.0,False,True,591,4701.29664,2020-08-17,0.0085,5,104,city,MA,0,0
Rolândia,4122404.0,2020-08-18,34,66580.0,False,True,591,887.65395,2020-08-17,0.0321,19,137,city,PR,0,0
Caririaçu,2303204.0,2020-08-18,34,26965.0,False,True,585,2169.47895,2020-08-17,0.0171,10,115,city,CE,0,0
Frutal,3127107.0,2020-08-18,34,59496.0,False,True,585,983.2593800000001,2020-08-17,0.0342,20,135,city,MG,0,0
Santo Antônio dos Lopes,2110302.0,2020-08-18,34,14528.0,False,True,585,4026.70705,2020-08-17,0.0051,3,103,city,MA,0,0
Governador Nunes Freire,2104677.0,2020-08-18,34,25577.0,False,True,583,2279.39164,2020-08-17,0.0051,3,127,city,MA,0,0
Palotina,4117909.0,2020-08-18,34,31846.0,False,True,580,1821.2648399999998,2020-08-17,0.0155,9,110,city,PR,0,0
Quixeré,2311504.0,2020-08-18,34,22149.0,False,True,580,2618.62838,2020-08-17,0.0172,10,131,city,CE,0,0
Lima Campos,2106003.0,2020-08-18,34,11893.0,False,True,580,4876.8183,2020-08-17,0.0103,6,112,city,MA,0,0
Marapanim,1504406.0,2020-08-18,34,28336.0,False,True,578,2039.80802,2020-08-17,0.0311,18,126,city,PA,0,0
Boituva,3507001.0,2020-08-18,34,60997.0,False,True,578,947.5875900000001,2020-08-17,0.0242,14,135,city,SP,0,0
Itabela,2914653.0,2020-08-18,34,30584.0,False,True,577,1886.6073800000001,2020-08-17,0.0121,7,121,city,BA,0,0
Capivari,3510401.0,2020-08-18,34,55768.0,False,True,577,1034.6435199999999,2020-08-17,0.0069,4,92,city,SP,0,0
Joaçaba,4209003.0,2020-08-18,34,30118.0,False,True,576,1912.47759,2020-08-17,0.0087,5,139,city,SC,0,0
Centro Novo do Maranhão,2103174.0,2020-08-18,34,21622.0,False,True,576,2663.95338,2020-08-17,0.0122,7,115,city,MA,0,0
Ribeira do Pombal,2926608.0,2020-08-18,34,53807.0,False,True,575,1068.63419,2020-08-17,0.006999999999999999,4,122,city,BA,0,0
Orlândia,3534302.0,2020-08-18,34,44028.0,False,True,574,1303.71582,2020-08-17,0.0331,19,137,city,SP,0,0
São José da Tapera,2708402.0,2020-08-18,34,32260.0,False,True,574,1779.2932399999997,2020-08-17,0.0174,10,97,city,AL,0,0
Umbaúba,2807600.0,2020-08-18,34,25294.0,False,True,573,2265.35937,2020-08-17,0.0349,20,113,city,SE,0,0
Guaíra,3517406.0,2020-08-18,34,40790.0,False,True,573,1404.75607,2020-08-17,0.0192,11,117,city,SP,0,0
Alexânia,5200308.0,2020-08-18,34,27653.0,False,True,573,2072.10791,2020-08-17,0.0175,10,104,city,GO,0,0
Domingos Martins,3201902.0,2020-08-18,34,33850.0,False,True,572,1689.80798,2020-08-16,0.0157,9,120,city,ES,0,0
Serra do Navio,1600055.0,2020-08-18,34,5397.0,False,True,572,10598.48064,2020-08-17,0.006999999999999999,4,119,city,AP,0,0
Sarandi,4126256.0,2020-08-18,34,96688.0,False,True,572,591.59358,2020-08-17,0.0157,9,138,city,PR,0,0
Forquilhinha,4205456.0,2020-08-18,34,26793.0,False,True,571,2131.15366,2020-08-17,0.0105,6,133,city,SC,0,0
Irituia,1503507.0,2020-08-18,34,32550.0,False,True,570,1751.1520699999999,2020-08-17,0.0175,10,115,city,PA,0,0
Poços de Caldas,3151800.0,2020-08-18,34,167397.0,False,True,570,340.50789,2020-08-17,0.0298,17,152,city,MG,0,0
Santa Fé do Sul,3546603.0,2020-08-18,34,32322.0,False,True,569,1760.41087,2020-08-17,0.0369,21,114,city,SP,0,0
Matelândia,4115606.0,2020-08-18,34,17943.0,False,True,569,3171.1531,2020-08-17,0.006999999999999999,4,90,city,PR,0,0
Bom Jesus do Itabapoana,3300605.0,2020-08-18,34,37096.0,False,True,569,1533.8581,2020-08-17,0.0264,15,131,city,RJ,0,0
Pindaré-Mirim,2108504.0,2020-08-18,34,32941.0,False,True,567,1721.25922,2020-08-17,0.0194,11,109,city,MA,0,0
Araquari,4201307.0,2020-08-18,34,38129.0,False,True,566,1484.4344199999998,2020-08-17,0.0124,7,113,city,SC,0,0
Guaporé,4309407.0,2020-08-18,34,25727.0,True,False,565,2196.13635,2020-08-18,0.0124,7,94,city,RS,20,0
Barbacena,3105608.0,2020-08-18,34,137313.0,False,True,565,411.46869,2020-08-17,0.0159,9,139,city,MG,0,0
Pires do Rio,5217401.0,2020-08-18,34,31458.0,False,True,565,1796.04552,2020-08-17,0.0301,17,133,city,GO,0,0
Baía da Traição,2501401.0,2020-08-18,34,8993.0,False,True,565,6282.66429,2020-08-17,0.0088,5,104,city,PB,0,0
Quirinópolis,5218508.0,2020-08-18,34,50065.0,False,True,562,1122.5407,2020-08-17,0.016,9,98,city,GO,0,0
Goiatuba,5209101.0,2020-08-18,34,34095.0,False,True,561,1645.40255,2020-08-17,0.0285,16,133,city,GO,0,0
Santa Cruz do Rio Pardo,3546405.0,2020-08-18,34,47673.0,False,True,561,1176.7667199999999,2020-08-17,0.0089,5,135,city,SP,0,0
Tonantins,1304237.0,2020-08-18,34,18755.0,False,True,561,2991.20235,2020-08-17,0.025,14,139,city,AM,0,0
Nhamundá,1303007.0,2020-08-18,34,21173.0,False,True,560,2644.87791,2020-08-17,0.0161,9,118,city,AM,0,0
Amaturá,1300060.0,2020-08-18,34,11536.0,False,True,560,4854.36893,2020-08-17,0.0143,8,117,city,AM,0,0
Querência,5107065.0,2020-08-18,34,17479.0,False,True,559,3198.1234600000003,2020-08-10,0.0286,16,117,city,MT,0,0
Montenegro,4312401.0,2020-08-18,34,65264.0,True,False,558,854.9889699999999,2020-08-18,0.0161,9,132,city,RS,15,0
Torres,4321501.0,2020-08-18,34,38732.0,True,False,556,1435.5055300000001,2020-08-18,0.0108,6,151,city,RS,16,0
Santa Cruz do Sul,4316808.0,2020-08-18,34,130416.0,True,False,556,426.32805999999994,2020-08-18,0.0072,4,136,city,RS,10,0
Guaxupé,3128709.0,2020-08-18,34,51917.0,False,True,555,1069.014,2020-08-17,0.0072,4,124,city,MG,0,0
Rio do Sul,4214805.0,2020-08-18,34,71061.0,False,True,553,778.20464,2020-08-17,0.0145,8,128,city,SC,0,0
Mâncio Lima,1200336.0,2020-08-18,34,18977.0,True,False,553,2914.05385,2020-08-18,0.0145,8,112,city,AC,0,0
Araguatins,1702208.0,2020-08-18,34,35761.0,False,True,553,1546.37734,2020-08-17,0.038,21,110,city,TO,0,0
Paulo Afonso,2924009.0,2020-08-18,34,117782.0,False,True,553,469.51147000000003,2020-08-17,0.0271,15,120,city,BA,0,0
Icó,2305407.0,2020-08-18,34,68018.0,False,True,551,810.0796799999999,2020-08-17,0.0254,14,139,city,CE,0,0
Itapicuru,2916500.0,2020-08-18,34,35576.0,False,True,551,1548.79694,2020-08-17,0.0018,1,101,city,BA,0,0
Salgueiro,2612208.0,2020-08-18,34,60930.0,False,True,551,904.3164300000001,2020-08-17,0.028999999999999998,16,134,city,PE,0,0
Barreirinhas,2101707.0,2020-08-18,34,62528.0,False,True,550,879.60594,2020-08-17,0.0418,23,124,city,MA,0,0
Importados/Indefinidos,,2020-08-18,34,,False,True,550,,2020-08-17,0.0782,43,151,city,MG,0,0
São Joaquim da Barra,3549409.0,2020-08-18,34,51888.0,False,True,550,1059.97533,2020-08-17,0.0218,12,125,city,SP,0,0
