Açude,Data do registro,Volume (%),Volume (m³),Afluência/Defluência (m²),data
Epitácio Pessoa,21/03/1967,100.0,535.680.000,2.942.266,1967-03-21
Epitácio Pessoa,22/03/1967,100.0,535.680.000,0,1967-03-22
Epitácio Pessoa,23/03/1967,100.0,535.680.000,0,1967-03-23
Epitácio Pessoa,24/03/1967,100.0,535.680.000,0,1967-03-24
Epitácio Pessoa,25/03/1967,100.0,535.680.000,0,1967-03-25
Epitácio Pessoa,26/03/1967,100.0,535.680.000,0,1967-03-26
Epitácio Pessoa,27/03/1967,100.0,535.680.000,0,1967-03-27
Epitácio Pessoa,28/03/1967,100.0,535.680.000,0,1967-03-28
Epitácio Pessoa,29/03/1967,100.0,535.680.000,0,1967-03-29
Epitácio Pessoa,30/03/1967,100.0,535.680.000,0,1967-03-30
Epitácio Pessoa,31/03/1967,100.0,535.680.000,0,1967-03-31
Epitácio Pessoa,01/04/1967,100.0,535.680.000,0,1967-04-01
Epitácio Pessoa,02/04/1967,100.0,535.680.000,0,1967-04-02
Epitácio Pessoa,03/04/1967,100.0,535.680.000,0,1967-04-03
Epitácio Pessoa,04/04/1967,100.0,535.680.000,0,1967-04-04
Epitácio Pessoa,05/04/1967,100.0,535.680.000,0,1967-04-05
Epitácio Pessoa,06/04/1967,100.0,535.680.000,0,1967-04-06
Epitácio Pessoa,07/04/1967,100.0,535.680.000,0,1967-04-07
Epitácio Pessoa,08/04/1967,100.0,535.680.000,0,1967-04-08
Epitácio Pessoa,09/04/1967,100.0,535.680.000,0,1967-04-09
Epitácio Pessoa,10/04/1967,100.0,535.680.000,0,1967-04-10
Epitácio Pessoa,11/04/1967,100.0,535.680.000,0,1967-04-11
Epitácio Pessoa,12/04/1967,100.0,535.680.000,0,1967-04-12
Epitácio Pessoa,13/04/1967,100.0,535.680.000,0,1967-04-13
Epitácio Pessoa,14/04/1967,100.0,535.680.000,0,1967-04-14
Epitácio Pessoa,15/04/1967,100.0,535.680.000,0,1967-04-15
Epitácio Pessoa,16/04/1967,100.0,535.680.000,0,1967-04-16
Epitácio Pessoa,17/04/1967,100.0,535.680.000,0,1967-04-17
Epitácio Pessoa,18/04/1967,100.0,535.680.000,0,1967-04-18
Epitácio Pessoa,19/04/1967,100.0,535.680.000,0,1967-04-19
Epitácio Pessoa,20/04/1967,100.0,535.680.000,0,1967-04-20
Epitácio Pessoa,21/04/1967,100.0,535.680.000,0,1967-04-21
Epitácio Pessoa,22/04/1967,100.0,535.680.000,0,1967-04-22
Epitácio Pessoa,23/04/1967,100.0,535.680.000,0,1967-04-23
Epitácio Pessoa,24/04/1967,100.0,535.680.000,0,1967-04-24
Epitácio Pessoa,25/04/1967,98.9,529.795.469,-5.884.531,1967-04-25
Epitácio Pessoa,26/04/1967,100.0,535.680.000,5.884.531,1967-04-26
Epitácio Pessoa,27/04/1967,100.0,535.680.000,0,1967-04-27
Epitácio Pessoa,28/04/1967,100.0,535.680.000,0,1967-04-28
Epitácio Pessoa,29/04/1967,100.0,535.680.000,0,1967-04-29
Epitácio Pessoa,30/04/1967,100.0,535.680.000,0,1967-04-30
Epitácio Pessoa,01/05/1967,100.0,535.680.000,0,1967-05-01
Epitácio Pessoa,02/05/1967,100.0,535.680.000,0,1967-05-02
Epitácio Pessoa,03/05/1967,100.0,535.680.000,0,1967-05-03
Epitácio Pessoa,04/05/1967,100.0,535.680.000,0,1967-05-04
Epitácio Pessoa,05/05/1967,100.0,535.680.000,0,1967-05-05
Epitácio Pessoa,06/05/1967,100.0,535.680.000,0,1967-05-06
Epitácio Pessoa,07/05/1967,100.0,535.680.000,0,1967-05-07
Epitácio Pessoa,08/05/1967,100.0,535.680.000,0,1967-05-08
Epitácio Pessoa,09/05/1967,100.0,535.680.000,0,1967-05-09
Epitácio Pessoa,10/05/1967,100.0,535.680.000,0,1967-05-10
Epitácio Pessoa,11/05/1967,100.0,535.680.000,0,1967-05-11
Epitácio Pessoa,12/05/1967,100.0,535.680.000,0,1967-05-12
Epitácio Pessoa,13/05/1967,100.0,535.680.000,0,1967-05-13
Epitácio Pessoa,14/05/1967,100.0,535.680.000,0,1967-05-14
Epitácio Pessoa,15/05/1967,100.0,535.680.000,0,1967-05-15
Epitácio Pessoa,16/05/1967,100.0,535.680.000,0,1967-05-16
Epitácio Pessoa,17/05/1967,100.0,535.680.000,0,1967-05-17
Epitácio Pessoa,18/05/1967,100.0,535.680.000,0,1967-05-18
Epitácio Pessoa,19/05/1967,100.0,535.680.000,0,1967-05-19
Epitácio Pessoa,20/05/1967,100.0,535.680.000,0,1967-05-20
Epitácio Pessoa,21/05/1967,100.0,535.680.000,0,1967-05-21
Epitácio Pessoa,22/05/1967,100.0,535.680.000,0,1967-05-22
Epitácio Pessoa,23/05/1967,100.0,535.680.000,0,1967-05-23
Epitácio Pessoa,24/05/1967,100.0,535.680.000,0,1967-05-24
Epitácio Pessoa,25/05/1967,100.0,535.680.000,0,1967-05-25
Epitácio Pessoa,26/05/1967,100.0,535.680.000,0,1967-05-26
Epitácio Pessoa,27/05/1967,100.0,535.680.000,0,1967-05-27
Epitácio Pessoa,28/05/1967,100.0,535.680.000,0,1967-05-28
Epitácio Pessoa,29/05/1967,100.0,535.680.000,0,1967-05-29
Epitácio Pessoa,30/05/1967,100.0,535.680.000,0,1967-05-30
Epitácio Pessoa,31/05/1967,100.0,535.680.000,0,1967-05-31
Epitácio Pessoa,01/06/1967,100.0,535.680.000,0,1967-06-01
Epitácio Pessoa,02/06/1967,100.0,535.680.000,0,1967-06-02
Epitácio Pessoa,03/06/1967,99.6,533.657.192,-2.022.808,1967-06-03
Epitácio Pessoa,04/06/1967,99.6,533.289.409,-367.783,1967-06-04
Epitácio Pessoa,05/06/1967,99.5,533.105.518,-183.891,1967-06-05
Epitácio Pessoa,06/06/1967,99.5,532.921.626,-183.892,1967-06-06
Epitácio Pessoa,07/06/1967,99.5,532.737.734,-183.892,1967-06-07
Epitácio Pessoa,08/06/1967,99.8,534.392.759,1.655.025,1967-06-08
Epitácio Pessoa,09/06/1967,99.3,532.186.060,-2.206.699,1967-06-09
Epitácio Pessoa,10/06/1967,99.3,532.002.168,-183.892,1967-06-10
