Açude,Data do registro,Volume (%),Volume (m³),Afluência/Defluência (m²),data
Epitácio Pessoa,03/05/1972,96.6,517.290.840,367.784,1972-05-03
Epitácio Pessoa,04/05/1972,96.6,517.658.623,367.783,1972-05-04
Epitácio Pessoa,05/05/1972,96.6,517.658.623,0,1972-05-05
Epitácio Pessoa,06/05/1972,96.6,517.658.623,0,1972-05-06
Epitácio Pessoa,07/05/1972,96.7,518.026.406,367.783,1972-05-07
Epitácio Pessoa,08/05/1972,96.7,518.026.406,0,1972-05-08
Epitácio Pessoa,09/05/1972,96.7,518.026.406,0,1972-05-09
Epitácio Pessoa,10/05/1972,96.7,518.026.406,0,1972-05-10
Epitácio Pessoa,11/05/1972,96.7,518.210.298,183.892,1972-05-11
Epitácio Pessoa,12/05/1972,96.7,518.210.298,0,1972-05-12
Epitácio Pessoa,13/05/1972,96.7,518.210.298,0,1972-05-13
Epitácio Pessoa,14/05/1972,96.7,518.210.298,0,1972-05-14
Epitácio Pessoa,15/05/1972,96.7,518.026.406,-183.892,1972-05-15
Epitácio Pessoa,16/05/1972,96.7,518.026.406,0,1972-05-16
Epitácio Pessoa,17/05/1972,96.7,518.026.406,0,1972-05-17
Epitácio Pessoa,18/05/1972,96.7,517.842.514,-183.892,1972-05-18
Epitácio Pessoa,19/05/1972,96.7,517.842.514,0,1972-05-19
Epitácio Pessoa,20/05/1972,96.7,517.842.514,0,1972-05-20
Epitácio Pessoa,21/05/1972,96.6,517.658.623,-183.891,1972-05-21
Epitácio Pessoa,22/05/1972,96.6,517.658.623,0,1972-05-22
Epitácio Pessoa,23/05/1972,96.6,517.658.623,0,1972-05-23
Epitácio Pessoa,24/05/1972,96.6,517.658.623,0,1972-05-24
Epitácio Pessoa,25/05/1972,96.6,517.658.623,0,1972-05-25
Epitácio Pessoa,26/05/1972,96.6,517.474.731,-183.892,1972-05-26
Epitácio Pessoa,27/05/1972,96.6,517.474.731,0,1972-05-27
Epitácio Pessoa,28/05/1972,96.6,517.290.840,-183.891,1972-05-28
Epitácio Pessoa,29/05/1972,96.6,517.290.840,0,1972-05-29
Epitácio Pessoa,30/05/1972,96.5,517.106.948,-183.892,1972-05-30
Epitácio Pessoa,31/05/1972,96.5,516.923.056,-183.892,1972-05-31
Epitácio Pessoa,01/06/1972,96.5,516.923.056,0,1972-06-01
Epitácio Pessoa,02/06/1972,96.5,517.106.948,183.892,1972-06-02
Epitácio Pessoa,03/06/1972,96.5,517.106.948,0,1972-06-03
Epitácio Pessoa,04/06/1972,96.5,516.923.056,-183.892,1972-06-04
Epitácio Pessoa,05/06/1972,96.5,516.923.056,0,1972-06-05
Epitácio Pessoa,06/06/1972,96.5,516.739.165,-183.891,1972-06-06
Epitácio Pessoa,07/06/1972,96.4,516.555.273,-183.892,1972-06-07
Epitácio Pessoa,08/06/1972,96.4,516.555.273,0,1972-06-08
Epitácio Pessoa,09/06/1972,96.4,516.371.381,-183.892,1972-06-09
Epitácio Pessoa,10/06/1972,96.4,516.371.381,0,1972-06-10
Epitácio Pessoa,11/06/1972,96.4,516.187.490,-183.891,1972-06-11
Epitácio Pessoa,12/06/1972,96.4,516.187.490,0,1972-06-12
Epitácio Pessoa,13/06/1972,96.4,516.371.381,183.891,1972-06-13
Epitácio Pessoa,14/06/1972,96.4,516.371.381,0,1972-06-14
Epitácio Pessoa,15/06/1972,96.4,516.187.490,-183.891,1972-06-15
Epitácio Pessoa,16/06/1972,96.4,516.187.490,0,1972-06-16
Epitácio Pessoa,17/06/1972,96.3,516.003.598,-183.892,1972-06-17
Epitácio Pessoa,18/06/1972,96.3,515.819.707,-183.891,1972-06-18
Epitácio Pessoa,19/06/1972,96.3,515.635.815,-183.892,1972-06-19
Epitácio Pessoa,20/06/1972,96.2,515.451.923,-183.892,1972-06-20
Epitácio Pessoa,21/06/1972,96.2,515.451.923,0,1972-06-21
Epitácio Pessoa,22/06/1972,96.2,515.268.032,-183.891,1972-06-22
Epitácio Pessoa,23/06/1972,96.2,515.084.140,-183.892,1972-06-23
Epitácio Pessoa,24/06/1972,96.2,515.084.140,0,1972-06-24
Epitácio Pessoa,25/06/1972,96.1,514.900.249,-183.891,1972-06-25
Epitácio Pessoa,26/06/1972,97.2,520.416.997,5.516.748,1972-06-26
Epitácio Pessoa,27/06/1972,96.1,514.716.357,-5.700.640,1972-06-27
Epitácio Pessoa,28/06/1972,96.1,514.532.465,-183.892,1972-06-28
Epitácio Pessoa,29/06/1972,96.0,514.348.574,-183.891,1972-06-29
Epitácio Pessoa,30/06/1972,96.0,514.164.682,-183.892,1972-06-30
Epitácio Pessoa,01/07/1972,96.0,514.164.682,0,1972-07-01
Epitácio Pessoa,02/07/1972,95.9,513.980.791,-183.891,1972-07-02
Epitácio Pessoa,03/07/1972,95.9,513.980.791,0,1972-07-03
Epitácio Pessoa,04/07/1972,95.9,513.796.899,-183.892,1972-07-04
Epitácio Pessoa,05/07/1972,95.9,513.796.899,0,1972-07-05
Epitácio Pessoa,06/07/1972,95.9,513.613.007,-183.892,1972-07-06
Epitácio Pessoa,07/07/1972,95.9,513.613.007,0,1972-07-07
Epitácio Pessoa,08/07/1972,95.9,513.613.007,0,1972-07-08
Epitácio Pessoa,09/07/1972,95.9,513.613.007,0,1972-07-09
Epitácio Pessoa,10/07/1972,95.9,513.613.007,0,1972-07-10
Epitácio Pessoa,11/07/1972,95.8,513.429.116,-183.891,1972-07-11
Epitácio Pessoa,12/07/1972,95.8,513.429.116,0,1972-07-12
Epitácio Pessoa,13/07/1972,95.8,513.245.224,-183.892,1972-07-13
Epitácio Pessoa,14/07/1972,95.8,513.245.224,0,1972-07-14
Epitácio Pessoa,15/07/1972,95.8,513.061.333,-183.891,1972-07-15
Epitácio Pessoa,16/07/1972,95.7,512.877.441,-183.892,1972-07-16
Epitácio Pessoa,17/07/1972,95.7,512.693.549,-183.892,1972-07-17
Epitácio Pessoa,18/07/1972,95.7,512.693.549,0,1972-07-18
Epitácio Pessoa,19/07/1972,95.7,512.509.658,-183.891,1972-07-19
Epitácio Pessoa,20/07/1972,95.7,512.509.658,0,1972-07-20
Epitácio Pessoa,21/07/1972,95.7,512.509.658,0,1972-07-21
Epitácio Pessoa,22/07/1972,95.6,512.325.766,-183.892,1972-07-22
Epitácio Pessoa,23/07/1972,95.6,512.141.875,-183.891,1972-07-23
Epitácio Pessoa,24/07/1972,95.6,512.141.875,0,1972-07-24
Epitácio Pessoa,25/07/1972,95.6,511.957.983,-183.892,1972-07-25
Epitácio Pessoa,26/07/1972,95.5,511.774.091,-183.892,1972-07-26
Epitácio Pessoa,27/07/1972,95.5,511.590.200,-183.891,1972-07-27
Epitácio Pessoa,28/07/1972,95.5,511.406.308,-183.892,1972-07-28
Epitácio Pessoa,29/07/1972,95.4,511.222.417,-183.891,1972-07-29
Epitácio Pessoa,30/07/1972,95.4,511.038.525,-183.892,1972-07-30
Epitácio Pessoa,31/07/1972,95.4,510.854.633,-183.892,1972-07-31
Epitácio Pessoa,01/08/1972,91.78,377.846.134,-133.008.499,1972-08-01
Epitácio Pessoa,02/08/1972,91.69,"377.492.627,71","-353.506,29",1972-08-02
Epitácio Pessoa,03/08/1972,91.61,"377.139.121,42","-353.506,29",1972-08-03
Epitácio Pessoa,04/08/1972,100.0,"414.886.281,40","37.747.159,98",1972-08-04
Epitácio Pessoa,05/08/1972,100.0,"414.486.282,10","-399.999,30",1972-08-05
Epitácio Pessoa,06/08/1972,91.52,"376.785.615,13","-37.700.666,97",1972-08-06
Epitácio Pessoa,07/08/1972,91.44,"376.432.108,84","-353.506,29",1972-08-07
Epitácio Pessoa,08/08/1972,91.35,"376.078.602,55","-353.506,29",1972-08-08
Epitácio Pessoa,09/08/1972,91.26,"375.725.096,26","-353.506,29",1972-08-09
Epitácio Pessoa,10/08/1972,91.18,"375.371.589,97","-353.506,29",1972-08-10
Epitácio Pessoa,11/08/1972,91.18,"375.371.589,97",0,1972-08-11
Epitácio Pessoa,12/08/1972,91.09,"375.018.083,68","-353.506,29",1972-08-12
Epitácio Pessoa,13/08/1972,91.09,"375.018.083,68",0,1972-08-13
Epitácio Pessoa,14/08/1972,91.09,"375.018.083,68",0,1972-08-14
Epitácio Pessoa,15/08/1972,91.01,"374.664.577,39","-353.506,29",1972-08-15
Epitácio Pessoa,16/08/1972,91.01,"374.664.577,39",0,1972-08-16
Epitácio Pessoa,17/08/1972,91.18,"375.371.589,97","707.012,58",1972-08-17
Epitácio Pessoa,18/08/1972,91.52,"376.785.615,13","1.414.025,16",1972-08-18
Epitácio Pessoa,19/08/1972,91.52,"376.785.615,13",0,1972-08-19
Epitácio Pessoa,20/08/1972,91.61,"377.139.121,42","353.506,29",1972-08-20
Epitácio Pessoa,21/08/1972,91.61,"377.139.121,42",0,1972-08-21
Epitácio Pessoa,22/08/1972,91.69,"377.492.627,71","353.506,29",1972-08-22
Epitácio Pessoa,23/08/1972,91.61,"377.139.121,42","-353.506,29",1972-08-23
Epitácio Pessoa,24/08/1972,91.52,"376.785.615,13","-353.506,29",1972-08-24
Epitácio Pessoa,25/08/1972,91.52,"376.785.615,13",0,1972-08-25
Epitácio Pessoa,26/08/1972,91.44,"376.432.108,84","-353.506,29",1972-08-26
Epitácio Pessoa,27/08/1972,91.44,"376.432.108,84",0,1972-08-27
Epitácio Pessoa,28/08/1972,91.61,"377.139.121,42","707.012,58",1972-08-28
Epitácio Pessoa,29/08/1972,91.61,"377.139.121,42",0,1972-08-29
Epitácio Pessoa,30/08/1972,91.52,"376.785.615,13","-353.506,29",1972-08-30
Epitácio Pessoa,31/08/1972,91.44,"376.432.108,84","-353.506,29",1972-08-31
Epitácio Pessoa,01/09/1972,95.2,509.935.175,"133.503.066,16",1972-09-01
Epitácio Pessoa,02/09/1972,95.2,509.751.284,-183.891,1972-09-02
Epitácio Pessoa,03/09/1972,95.2,509.751.284,0,1972-09-03
Epitácio Pessoa,04/09/1972,95.1,509.567.392,-183.892,1972-09-04
Epitácio Pessoa,05/09/1972,95.1,509.383.500,-183.892,1972-09-05
Epitácio Pessoa,06/09/1972,95.1,509.199.609,-183.891,1972-09-06
Epitácio Pessoa,07/09/1972,95.0,509.015.717,-183.892,1972-09-07
Epitácio Pessoa,08/09/1972,95.0,508.831.826,-183.891,1972-09-08
Epitácio Pessoa,09/09/1972,95.0,508.831.826,0,1972-09-09
Epitácio Pessoa,10/09/1972,95.0,508.647.934,-183.892,1972-09-10
Epitácio Pessoa,11/09/1972,94.9,508.464.042,-183.892,1972-09-11
Epitácio Pessoa,12/09/1972,94.9,508.280.151,-183.891,1972-09-12
Epitácio Pessoa,13/09/1972,94.9,508.096.259,-183.892,1972-09-13
Epitácio Pessoa,14/09/1972,94.9,508.096.259,0,1972-09-14
Epitácio Pessoa,15/09/1972,94.8,507.912.368,-183.891,1972-09-15
Epitácio Pessoa,16/09/1972,94.8,507.728.476,-183.892,1972-09-16
Epitácio Pessoa,17/09/1972,94.7,507.544.584,-183.892,1972-09-17
Epitácio Pessoa,18/09/1972,94.7,507.360.693,-183.891,1972-09-18
Epitácio Pessoa,19/09/1972,94.7,507.176.801,-183.892,1972-09-19
Epitácio Pessoa,20/09/1972,94.6,506.992.910,-183.891,1972-09-20
Epitácio Pessoa,21/09/1972,94.6,506.809.018,-183.892,1972-09-21
Epitácio Pessoa,22/09/1972,94.6,506.809.018,0,1972-09-22
Epitácio Pessoa,23/09/1972,94.6,506.625.126,-183.892,1972-09-23
Epitácio Pessoa,24/09/1972,94.5,506.441.235,-183.891,1972-09-24
Epitácio Pessoa,25/09/1972,94.5,506.073.452,-367.783,1972-09-25
Epitácio Pessoa,26/09/1972,94.4,505.889.560,-183.892,1972-09-26
Epitácio Pessoa,27/09/1972,94.4,505.705.668,-183.892,1972-09-27
Epitácio Pessoa,28/09/1972,94.4,505.521.777,-183.891,1972-09-28
Epitácio Pessoa,29/09/1972,94.3,505.337.885,-183.892,1972-09-29
Epitácio Pessoa,01/10/1972,94.3,397.369.725,0,1972-10-01
Epitácio Pessoa,02/10/1972,94.3,504.970.102,107.600.377,1972-10-02
Epitácio Pessoa,03/10/1972,94.2,504.786.210,-183.892,1972-10-03
Epitácio Pessoa,04/10/1972,94.2,504.602.319,-183.891,1972-10-04
Epitácio Pessoa,05/10/1972,94.2,504.418.427,-183.892,1972-10-05
Epitácio Pessoa,06/10/1972,94.1,504.234.536,-183.891,1972-10-06
Epitácio Pessoa,07/10/1972,94.1,504.234.536,0,1972-10-07
Epitácio Pessoa,08/10/1972,94.1,504.050.644,-183.892,1972-10-08
Epitácio Pessoa,09/10/1972,94.1,503.866.752,-183.892,1972-10-09
Epitácio Pessoa,10/10/1972,94.0,503.682.861,-183.891,1972-10-10
Epitácio Pessoa,11/10/1972,94.0,503.498.969,-183.892,1972-10-11
Epitácio Pessoa,12/10/1972,94.0,503.315.078,-183.891,1972-10-12
Epitácio Pessoa,13/10/1972,93.9,503.131.186,-183.892,1972-10-13
Epitácio Pessoa,14/10/1972,93.9,502.947.294,-183.892,1972-10-14
Epitácio Pessoa,15/10/1972,93.9,502.763.403,-183.891,1972-10-15
Epitácio Pessoa,16/10/1972,93.8,502.579.511,-183.892,1972-10-16
Epitácio Pessoa,17/10/1972,93.8,502.395.619,-183.892,1972-10-17
Epitácio Pessoa,18/10/1972,93.8,502.211.728,-183.891,1972-10-18
Epitácio Pessoa,19/10/1972,93.7,502.027.836,-183.892,1972-10-19
Epitácio Pessoa,20/10/1972,93.7,501.843.945,-183.891,1972-10-20
Epitácio Pessoa,21/10/1972,93.6,501.660.053,-183.892,1972-10-21
Epitácio Pessoa,22/10/1972,93.6,501.476.161,-183.892,1972-10-22
Epitácio Pessoa,23/10/1972,93.6,501.292.270,-183.891,1972-10-23
Epitácio Pessoa,24/10/1972,93.5,501.108.378,-183.892,1972-10-24
Epitácio Pessoa,25/10/1972,93.5,500.924.487,-183.891,1972-10-25
Epitácio Pessoa,26/10/1972,93.5,500.740.595,-183.892,1972-10-26
Epitácio Pessoa,27/10/1972,93.4,500.556.703,-183.892,1972-10-27
Epitácio Pessoa,28/10/1972,93.4,500.372.812,-183.891,1972-10-28
Epitácio Pessoa,29/10/1972,93.4,500.188.920,-183.892,1972-10-29
Epitácio Pessoa,30/10/1972,93.3,500.005.029,-183.891,1972-10-30
Epitácio Pessoa,31/10/1972,93.3,499.821.137,-183.892,1972-10-31
Epitácio Pessoa,01/11/1972,93.3,499.637.245,-183.892,1972-11-01
Epitácio Pessoa,02/11/1972,93.2,499.453.354,-183.891,1972-11-02
Epitácio Pessoa,03/11/1972,93.2,499.269.462,-183.892,1972-11-03
Epitácio Pessoa,04/11/1972,93.2,499.085.571,-183.891,1972-11-04
Epitácio Pessoa,05/11/1972,93.1,498.901.679,-183.892,1972-11-05
Epitácio Pessoa,06/11/1972,93.1,498.507.597,-394.082,1972-11-06
Epitácio Pessoa,07/11/1972,93.0,498.113.515,-394.082,1972-11-07
Epitácio Pessoa,08/11/1972,92.9,497.719.434,-394.081,1972-11-08
Epitácio Pessoa,09/11/1972,92.8,497.325.352,-394.082,1972-11-09
Epitácio Pessoa,10/11/1972,92.8,496.931.270,-394.082,1972-11-10
Epitácio Pessoa,11/11/1972,92.7,496.537.188,-394.082,1972-11-11
Epitácio Pessoa,12/11/1972,92.6,496.143.106,-394.082,1972-11-12
Epitácio Pessoa,13/11/1972,92.5,495.749.025,-394.081,1972-11-13
Epitácio Pessoa,14/11/1972,92.5,495.354.943,-394.082,1972-11-14
Epitácio Pessoa,15/11/1972,92.4,494.960.861,-394.082,1972-11-15
Epitácio Pessoa,16/11/1972,92.3,494.566.779,-394.082,1972-11-16
Epitácio Pessoa,17/11/1972,92.3,494.172.697,-394.082,1972-11-17
Epitácio Pessoa,18/11/1972,92.2,493.778.616,-394.081,1972-11-18
Epitácio Pessoa,19/11/1972,92.1,493.384.534,-394.082,1972-11-19
Epitácio Pessoa,20/11/1972,92.0,492.990.452,-394.082,1972-11-20
Epitácio Pessoa,21/11/1972,92.0,492.596.370,-394.082,1972-11-21
Epitácio Pessoa,22/11/1972,91.9,492.202.288,-394.082,1972-11-22
Epitácio Pessoa,23/11/1972,91.8,491.808.207,-394.081,1972-11-23
Epitácio Pessoa,24/11/1972,91.7,491.414.125,-394.082,1972-11-24
Epitácio Pessoa,25/11/1972,91.7,491.020.043,-394.082,1972-11-25
Epitácio Pessoa,26/11/1972,91.6,490.625.961,-394.082,1972-11-26
Epitácio Pessoa,27/11/1972,91.5,490.231.880,-394.081,1972-11-27
Epitácio Pessoa,28/11/1972,91.4,489.837.798,-394.082,1972-11-28
Epitácio Pessoa,29/11/1972,91.4,489.443.716,-394.082,1972-11-29
Epitácio Pessoa,30/11/1972,91.3,489.049.634,-394.082,1972-11-30
Epitácio Pessoa,01/12/1972,91.2,488.655.552,-394.082,1972-12-01
Epitácio Pessoa,02/12/1972,91.1,488.261.471,-394.081,1972-12-02
Epitácio Pessoa,03/12/1972,91.1,487.867.389,-394.082,1972-12-03
Epitácio Pessoa,04/12/1972,91.0,487.473.307,-394.082,1972-12-04
Epitácio Pessoa,05/12/1972,90.9,487.079.225,-394.082,1972-12-05
Epitácio Pessoa,06/12/1972,90.9,486.685.143,-394.082,1972-12-06
Epitácio Pessoa,07/12/1972,90.8,486.291.062,-394.081,1972-12-07
Epitácio Pessoa,08/12/1972,90.7,485.896.980,-394.082,1972-12-08
Epitácio Pessoa,09/12/1972,90.6,485.502.898,-394.082,1972-12-09
Epitácio Pessoa,10/12/1972,90.6,485.108.816,-394.082,1972-12-10
Epitácio Pessoa,11/12/1972,90.5,484.714.734,-394.082,1972-12-11
Epitácio Pessoa,12/12/1972,90.4,484.320.653,-394.081,1972-12-12
Epitácio Pessoa,13/12/1972,90.3,483.926.571,-394.082,1972-12-13
Epitácio Pessoa,14/12/1972,90.3,483.532.489,-394.082,1972-12-14
Epitácio Pessoa,15/12/1972,90.2,483.138.407,-394.082,1972-12-15
Epitácio Pessoa,16/12/1972,90.1,482.744.325,-394.082,1972-12-16
Epitácio Pessoa,17/12/1972,90.0,482.350.244,-394.081,1972-12-17
Epitácio Pessoa,18/12/1972,95.1,509.383.500,27.033.256,1972-12-18
Epitácio Pessoa,19/12/1972,89.9,481.562.080,-27.821.420,1972-12-19
Epitácio Pessoa,20/12/1972,92.5,495.354.943,13.792.863,1972-12-20
Epitácio Pessoa,21/12/1972,93.3,500.005.029,4.650.086,1972-12-21
Epitácio Pessoa,22/12/1972,93.9,502.763.403,2.758.374,1972-12-22
Epitácio Pessoa,23/12/1972,93.9,502.763.403,0,1972-12-23
Epitácio Pessoa,24/12/1972,93.9,502.763.403,0,1972-12-24
Epitácio Pessoa,25/12/1972,93.9,502.763.403,0,1972-12-25
Epitácio Pessoa,26/12/1972,93.9,502.763.403,0,1972-12-26
Epitácio Pessoa,27/12/1972,93.9,502.763.403,0,1972-12-27
Epitácio Pessoa,28/12/1972,93.9,502.763.403,0,1972-12-28
Epitácio Pessoa,29/12/1972,93.8,502.579.511,-183.892,1972-12-29
Epitácio Pessoa,30/12/1972,93.8,502.395.619,-183.892,1972-12-30
Epitácio Pessoa,01/01/1973,94.4,505.521.777,3.310.049,1973-01-01
Epitácio Pessoa,02/01/1973,95.0,508.647.934,3.126.157,1973-01-02
Epitácio Pessoa,03/01/1973,94.9,508.464.042,-183.892,1973-01-03
Epitácio Pessoa,04/01/1973,94.9,508.464.042,0,1973-01-04
Epitácio Pessoa,05/01/1973,94.9,508.280.151,-183.891,1973-01-05
Epitácio Pessoa,06/01/1973,94.9,508.096.259,-183.892,1973-01-06
Epitácio Pessoa,07/01/1973,94.9,508.096.259,0,1973-01-07
Epitácio Pessoa,08/01/1973,94.9,508.096.259,0,1973-01-08
Epitácio Pessoa,09/01/1973,94.8,507.912.368,-183.891,1973-01-09
Epitácio Pessoa,10/01/1973,94.8,507.728.476,-183.892,1973-01-10
Epitácio Pessoa,11/01/1973,94.8,507.728.476,0,1973-01-11
Epitácio Pessoa,12/01/1973,94.8,507.728.476,0,1973-01-12
Epitácio Pessoa,13/01/1973,94.8,507.728.476,0,1973-01-13
Epitácio Pessoa,14/01/1973,94.8,507.728.476,0,1973-01-14
Epitácio Pessoa,15/01/1973,94.7,507.544.584,-183.892,1973-01-15
Epitácio Pessoa,16/01/1973,94.9,508.280.151,735.567,1973-01-16
Epitácio Pessoa,17/01/1973,94.9,508.464.042,183.891,1973-01-17
Epitácio Pessoa,18/01/1973,94.9,508.464.042,0,1973-01-18
Epitácio Pessoa,19/01/1973,94.9,508.464.042,0,1973-01-19
Epitácio Pessoa,20/01/1973,94.9,508.280.151,-183.891,1973-01-20
Epitácio Pessoa,21/01/1973,94.9,508.280.151,0,1973-01-21
Epitácio Pessoa,22/01/1973,94.9,508.096.259,-183.892,1973-01-22
Epitácio Pessoa,23/01/1973,94.8,507.912.368,-183.891,1973-01-23
Epitácio Pessoa,24/01/1973,94.8,507.728.476,-183.892,1973-01-24
Epitácio Pessoa,25/01/1973,94.7,507.544.584,-183.892,1973-01-25
Epitácio Pessoa,26/01/1973,94.7,507.360.693,-183.891,1973-01-26
Epitácio Pessoa,27/01/1973,94.7,507.360.693,0,1973-01-27
Epitácio Pessoa,28/01/1973,94.7,507.176.801,-183.892,1973-01-28
Epitácio Pessoa,29/01/1973,94.7,507.176.801,0,1973-01-29
Epitácio Pessoa,30/01/1973,94.6,506.992.910,-183.891,1973-01-30
Epitácio Pessoa,31/01/1973,94.6,506.809.018,-183.892,1973-01-31
Epitácio Pessoa,01/02/1973,94.6,506.625.126,-183.892,1973-02-01
Epitácio Pessoa,02/02/1973,94.5,506.441.235,-183.891,1973-02-02
Epitácio Pessoa,03/02/1973,94.5,506.257.343,-183.892,1973-02-03
Epitácio Pessoa,04/02/1973,94.5,506.073.452,-183.891,1973-02-04
Epitácio Pessoa,05/02/1973,94.4,505.889.560,-183.892,1973-02-05
Epitácio Pessoa,06/02/1973,94.4,505.705.668,-183.892,1973-02-06
Epitácio Pessoa,07/02/1973,94.4,505.521.777,-183.891,1973-02-07
Epitácio Pessoa,08/02/1973,94.3,505.337.885,-183.892,1973-02-08
Epitácio Pessoa,09/02/1973,94.3,505.153.994,-183.891,1973-02-09
Epitácio Pessoa,10/02/1973,94.3,505.153.994,0,1973-02-10
Epitácio Pessoa,11/02/1973,94.3,505.153.994,0,1973-02-11
Epitácio Pessoa,12/02/1973,94.3,504.970.102,-183.892,1973-02-12
Epitácio Pessoa,13/02/1973,94.2,504.786.210,-183.892,1973-02-13
Epitácio Pessoa,14/02/1973,94.2,504.602.319,-183.891,1973-02-14
Epitácio Pessoa,15/02/1973,94.2,504.418.427,-183.892,1973-02-15
Epitácio Pessoa,16/02/1973,94.1,504.234.536,-183.891,1973-02-16
Epitácio Pessoa,17/02/1973,94.1,504.050.644,-183.892,1973-02-17
Epitácio Pessoa,18/02/1973,94.1,503.866.752,-183.892,1973-02-18
Epitácio Pessoa,19/02/1973,94.0,503.682.861,-183.891,1973-02-19
Epitácio Pessoa,20/02/1973,94.0,429.937.365,-73.745.496,1973-02-20
Epitácio Pessoa,21/02/1973,94.0,503.315.078,73.377.713,1973-02-21
Epitácio Pessoa,22/02/1973,94.0,503.315.078,0,1973-02-22
Epitácio Pessoa,23/02/1973,94.0,503.315.078,0,1973-02-23
Epitácio Pessoa,24/02/1973,94.0,503.498.969,183.891,1973-02-24
Epitácio Pessoa,25/02/1973,94.0,503.498.969,0,1973-02-25
Epitácio Pessoa,26/02/1973,94.0,503.682.861,183.892,1973-02-26
Epitácio Pessoa,27/02/1973,94.1,504.050.644,367.783,1973-02-27
Epitácio Pessoa,28/02/1973,94.1,504.050.644,0,1973-02-28
Epitácio Pessoa,01/03/1973,94.1,504.050.644,0,1973-03-01
Epitácio Pessoa,02/03/1973,94.1,503.866.752,-183.892,1973-03-02
Epitácio Pessoa,03/03/1973,94.0,503.682.861,-183.891,1973-03-03
Epitácio Pessoa,04/03/1973,94.0,503.498.969,-183.892,1973-03-04
Epitácio Pessoa,05/03/1973,94.0,503.315.078,-183.891,1973-03-05
Epitácio Pessoa,06/03/1973,93.9,503.131.186,-183.892,1973-03-06
Epitácio Pessoa,07/03/1973,93.9,502.947.294,-183.892,1973-03-07
Epitácio Pessoa,08/03/1973,94.0,503.315.078,367.784,1973-03-08
Epitácio Pessoa,09/03/1973,94.0,503.315.078,0,1973-03-09
Epitácio Pessoa,10/03/1973,94.0,503.315.078,0,1973-03-10
Epitácio Pessoa,11/03/1973,94.0,503.315.078,0,1973-03-11
Epitácio Pessoa,12/03/1973,94.0,503.315.078,0,1973-03-12
Epitácio Pessoa,13/03/1973,94.3,505.337.885,2.022.807,1973-03-13
Epitácio Pessoa,14/03/1973,94.4,505.889.560,551.675,1973-03-14
Epitácio Pessoa,15/03/1973,94.6,506.809.018,919.458,1973-03-15
Epitácio Pessoa,16/03/1973,95.0,508.831.826,2.022.808,1973-03-16
Epitácio Pessoa,17/03/1973,95.0,509.015.717,183.891,1973-03-17
Epitácio Pessoa,18/03/1973,95.1,509.199.609,183.892,1973-03-18
Epitácio Pessoa,19/03/1973,95.1,509.383.500,183.891,1973-03-19
Epitácio Pessoa,20/03/1973,95.1,509.383.500,0,1973-03-20
Epitácio Pessoa,21/03/1973,95.1,509.383.500,0,1973-03-21
Epitácio Pessoa,22/03/1973,95.1,509.383.500,0,1973-03-22
Epitácio Pessoa,23/03/1973,95.2,510.119.067,735.567,1973-03-23
Epitácio Pessoa,24/03/1973,95.4,510.854.633,735.566,1973-03-24
Epitácio Pessoa,25/03/1973,95.5,511.406.308,551.675,1973-03-25
Epitácio Pessoa,26/03/1973,97.6,522.623.696,11.217.388,1973-03-26
Epitácio Pessoa,27/03/1973,94.2,504.418.427,-18.205.269,1973-03-27
Epitácio Pessoa,28/03/1973,94.2,504.786.210,367.783,1973-03-28
Epitácio Pessoa,29/03/1973,94.3,504.970.102,183.892,1973-03-29
Epitácio Pessoa,30/03/1973,94.3,504.970.102,0,1973-03-30
Epitácio Pessoa,31/03/1973,94.3,504.970.102,0,1973-03-31
Epitácio Pessoa,01/04/1973,97.7,523.359.262,18.389.160,1973-04-01
Epitácio Pessoa,02/04/1973,97.7,523.359.262,0,1973-04-02
Epitácio Pessoa,03/04/1973,97.7,523.359.262,0,1973-04-03
Epitácio Pessoa,04/04/1973,97.7,523.175.371,-183.891,1973-04-04
Epitácio Pessoa,05/04/1973,97.7,523.175.371,0,1973-04-05
Epitácio Pessoa,06/04/1973,97.6,522.991.479,-183.892,1973-04-06
Epitácio Pessoa,07/04/1973,98.2,525.933.745,2.942.266,1973-04-07
Epitácio Pessoa,08/04/1973,98.9,529.795.469,3.861.724,1973-04-08
Epitácio Pessoa,09/04/1973,99.0,530.531.035,735.566,1973-04-09
Epitácio Pessoa,10/04/1973,99.1,531.082.710,551.675,1973-04-10
Epitácio Pessoa,11/04/1973,99.2,531.266.601,183.891,1973-04-11
Epitácio Pessoa,12/04/1973,99.3,532.002.168,735.567,1973-04-12
Epitácio Pessoa,13/04/1973,99.8,534.760.542,2.758.374,1973-04-13
Epitácio Pessoa,14/04/1973,100.0,535.680.000,919.458,1973-04-14
Epitácio Pessoa,15/04/1973,100.0,535.680.000,0,1973-04-15
Epitácio Pessoa,16/04/1973,100.0,535.680.000,0,1973-04-16
Epitácio Pessoa,17/04/1973,100.0,535.680.000,0,1973-04-17
Epitácio Pessoa,18/04/1973,100.0,535.680.000,0,1973-04-18
Epitácio Pessoa,19/04/1973,100.0,535.680.000,0,1973-04-19
Epitácio Pessoa,20/04/1973,100.0,535.680.000,0,1973-04-20
Epitácio Pessoa,21/04/1973,100.0,535.680.000,0,1973-04-21
Epitácio Pessoa,22/04/1973,100.0,535.680.000,0,1973-04-22
